# Genes associated with human PMN-MDSC
# from https://doi.org/10.1084/jem.20201803 (Table 1)
AQP9
BCL2A1
C19orf59
C5AR1
CCL18
CCL20
CD300E
CTSC
CXCL1
CXCL2
CXCL3
CXCL5
CXCL6
CXCR1
CXCR2
EMR2
EMR3
FCGR3B
FGR
FPR1
FPR2
GPR97
HCK
HK3
ICAM1
IL15RA
IL1B
IL1R2
IL2RA
IL6
IL8
LILRA3
LILRA5
LILRA6
LIRRB2
LILRB3
LYN
MEFV
MMP12
NCF2
OSM
PLAUR
PTAFR
S100A12
S100A8
S100A9
SERPINB8
SLC11A1
SOD2
TREM1
