cluster,gene,logFC
CD8 T Naive,HNRNPLL,-2.25987082854711
CD8 T Naive,GZMH,-5.55950128047864
CD8 T Naive,LCP1,-1.55629439932009
CD8 T Naive,EIF3E,0.748025714714817
CD8 T Naive,GGA2,-2.23951863939319
CD8 T Naive,APOBEC3C,-2.87152450192145
CD8 T Naive,HSP90AB1,-0.842680592310869
CD8 T Naive,MAP1LC3B,-0.99755557080548
CD8 T Naive,LYSMD2,0.932628715328362
CD8 T Naive,RAC1,-1.15406006738709
CD8 T Naive,HSPD1,-1.42304348022299
CD8 T Naive,ACTN4,-1.80804715797459
CD8 T Naive,ATP6V0C,-0.695837460139996
CD8 T Naive,CCL4,-3.34268507292109
CD8 T Naive,JUN,-1.02599511243811
CD8 T Naive,TMEM123,0.922333853807151
CD8 T Naive,SQSTM1,-0.772196072007866
CD8 T Naive,IFITM2,-1.30840608946103
CD8 T Naive,HMGB2,-1.97803060008769
CD8 T Naive,JPT1,-1.326845812985
CD8 T Naive,ABLIM1,0.735618935769369
CD8 T Naive,TIGIT,-2.09438136467788
CD8 T Naive,CYTOR,-2.06032109908706
CD8 T Naive,FAM129A,-1.59751430264586
CD8 T Naive,CXCL13,-3.73057027151434
CD8 T Naive,UCP2,0.929611351914059
CD8 T Naive,S100A6,-0.891079776120311
CD8 T Naive,TENT5C,-2.34985949082732
CD8 T Naive,CD82,-1.63902329523676
CD8 T Naive,ARID5B,-1.73762820927136
CD8 T Naive,SELENOK,-0.902792085016269
CD8 T Naive,S100A10,-0.886804253784908
CD8 T Naive,ZEB2,-2.91920743932403
CD8 T Naive,SLA,-1.41937953412244
CD8 T Naive,ITM2A,-1.13633952654197
CD8 T Naive,VCAM1,-4.9279512403137
CD8 T Naive,DNAJB6,-1.08526875057817
CD8 T Naive,FCMR,1.14625652346237
CD8 T Naive,ZFP36,-0.765731808361608
CD8 T Naive,CD63,-1.93973295515367
CD8 T Naive,HERPUD1,-1.41316963139123
CD8 T Naive,EEF1G,0.824335348461283
CD8 T Naive,NEU1,-1.31318095529308
CD8 T Naive,ID2,-1.65105729442101
CD8 T Naive,TESPA1,1.05366120162384
CD8 T Naive,CD48,0.755309001457095
CD8 T Naive,USP3,0.982124713945205
CD8 T Naive,KLF6,-0.778218662283186
CD8 T Naive,HSPE1,-1.28784288208409
CD8 T Naive,HLA-DQB1,-2.28791057652008
CD8 T Naive,IL27RA,0.845859837484004
CD8 T Naive,ANXA2,-1.1871922644723
CD8 T Naive,LITAF,-0.844948674394169
CD8 T Naive,LSM5,0.852286663289551
CD8 T Naive,LGALS3,-2.90611970542708
CD8 T Naive,FYN,-1.12893670144222
CD8 T Naive,CDK2AP2,-1.13441084515751
CD8 T Naive,DOK2,-1.94633886398354
CD8 T Naive,IL32,-0.999707166607409
CD8 T Naive,WHRN,-2.09311910308232
CD8 T Naive,RARA,0.769007719049855
CD8 T Naive,PPP1R16B,-2.22648205105079
CD8 T Naive,KLRD1,-2.30270938044815
CD8 T Naive,PHLDA1,-1.57422618186649
CD8 T Naive,WIPF1,-0.952527728470104
CD8 T Naive,IL10RA,-1.25550348398168
CD8 T Naive,HSPA1B,-3.00871942472771
CD8 T Naive,TXN,-0.924671695840708
CD8 T Naive,FBL,0.734213679341367
CD8 T Naive,HSPB1,-1.71986698342358
CD8 T Naive,CRTAM,-2.59663691251359
CD8 T Naive,PIK3R1,-1.66877533220571
CD8 T Naive,RARRES3,-0.99241287803539
CD8 T Naive,GEM,-3.02052416167372
CD8 T Naive,TMEM243,0.780414485563794
CD8 T Naive,KLF3,0.986277946532339
CD8 T Naive,NR3C1,-0.916019445426963
CD8 T Naive,ATP1B3,-1.05918652256045
CD8 T Naive,PLP2,-0.72655126572285
CD8 T Naive,SLC9A3R1,-1.14013325764126
CD8 T Naive,HLA-DMA,-2.48125680216726
CD8 T Naive,MSL3,0.838649608354573
CD8 T Naive,CHST12,-1.75928409119613
CD8 T Naive,NAA50,-1.57960648511199
CD8 T Naive,GNG2,-0.787791249792886
CD8 T Naive,CYTH1,0.795840893660906
CD8 T Naive,SYTL3,-1.35187826086759
CD8 T Naive,ITGB2,-1.65302433191398
CD8 T Naive,CEMIP2,-1.83331142618743
CD8 T Naive,ALOX5AP,-2.14596565324277
CD8 T Naive,EMD,-0.723955523188923
CD8 T Naive,AKAP13,-0.927575130489163
CD8 T Naive,BRD2,-0.725920510801761
CD8 T Naive,TSPYL2,-1.05824557164233
CD8 T Naive,HCST,-0.955286889931442
CD8 T Naive,FLNA,-0.945433300192508
CD8 T Naive,ITM2C,-1.47157449986698
CD8 T Naive,LYST,-1.20752983287174
CD8 T Naive,STAT5A,-1.22917027402223
CD8 T Naive,REL,-1.19229700983725
CD8 T Naive,DNAJC1,-1.25359372658073
CD8 T Naive,MT2A,-1.15641198222688
CD8 T Naive,IL21R,-1.1101396555681
CD8 T Naive,TSPO,-1.18118273220346
CD8 T Naive,FNBP1,-0.88154310596625
CD8 T Naive,SAMHD1,0.863904555490903
CD8 T Naive,CD58,-1.56562679746653
CD8 T Naive,H2AFX,-1.46133623449083
CD8 T Naive,SURF4,-0.878595813340017
CD8 T Naive,SSH2,0.85704062390627
CD8 T Naive,CFLAR,-0.890521659317854
CD8 T Naive,CTSC,-1.91776299863716
CD8 T Naive,STAT1,0.730865087770121
CD8 T Naive,ATP2B4,-1.19855010933997
CD8 T Naive,BHLHE40,-2.08807641680327
CD8 T Naive,BATF,-0.996422036746986
CD8 T Naive,YWHAH,-1.46396290706479
CD8 T Naive,CD8B,-0.726393236476553
CD8 T Naive,PIK3IP1,0.735576592844139
CD8 T Naive,SRSF3,-0.815614936589117
CD8 T Naive,TERF2IP,-0.833495179165894
CD8 T Naive,SEPT7,-0.716833712937798
CD8 T Naive,JUND,-0.88774213703327
CD8 T Naive,GATA3,-1.28479690838653
CD8 T Naive,RHOB,-1.52176817835461
CD8 T Naive,PTPN22,-1.52471760719459
CD8 T Naive,SRRT,-1.07921182691939
CD8 T Naive,GABARAPL1,-0.844926287506737
CD8 T Naive,RUNX3,-0.971094494341808
CD8 T Naive,SLC16A3,-1.56367019261683
CD8 T Naive,NOP58,-0.758244305430023
CD8 T Naive,PSMB9,-0.835951100526215
CD8 T Naive,GYG1,-1.66835082394628
CD8 T Naive,FABP5,-1.06502604235277
CD8 T Naive,NAMPT,-1.22862879130496
CD8 T Naive,DENND4A,0.816491780543738
CD8 T Naive,CACYBP,-1.03243582832821
CD8 T Naive,ID3,-1.89588915196906
CD8 T Naive,HNRNPUL1,-0.753546521993694
CD8 T Naive,KPNA2,-1.20974791376891
CD8 T Naive,JMJD6,-1.17891346575083
CD8 T Naive,DUSP1,-1.19917182255045
CD8 T Naive,DNAJB1,-1.51916064416718
CD8 T Naive,GSTP1,-0.777358568897767
CD8 T Naive,CARD16,-1.5321689468889
CD8 T Naive,OPTN,-0.839407304159897
CD8 T Naive,CCND2,-1.2525015743484
CD8 T Naive,TMX4,-1.24240250017494
CD8 T Naive,PTP4A1,-1.0827870523745
CD8 T Naive,PDIA6,-1.19924240525937
CD8 T Naive,SLBP,-1.03763645488424
CD8 T Naive,SH3KBP1,-1.21255226287842
CD8 T Naive,CD27,-1.15868290006883
CD8 T Naive,CLEC2B,-0.72822466021429
CD8 T Naive,EIF4A3,-0.906532671290738
CD8 T Naive,RAB27A,-1.04019625251805
CD8 T Naive,EID1,-0.883448959406206
CD8 T Naive,MAP2K3,-1.08256106546084
CD8 T Naive,ANXA6,-1.06421311186568
CD8 T Naive,CAPN2,-1.26465964900074
CD8 T Naive,PPP1R18,0.821166383968839
CD8 T Naive,ITGAE,-1.33159790190415
CD8 T Naive,DNAJA1,-0.911399145397168
CD8 T Naive,ADSS,-1.018177948867
CD8 T Naive,RAB5IF,-0.852059120612869
CD8 T Naive,VPS37B,-1.18576862241871
CD8 T Naive,ZYX,-0.983005748813948
CD8 T Naive,GLUD1,-0.701536985635323
CD8 T Naive,CARHSP1,-1.3016671689832
CD8 T Naive,IL2RB,-1.20226506907353
CD8 T Naive,UBE2A,-0.698990235397168
CD8 T Naive,NEAT1,-0.914139205183646
CD8 T Naive,IKZF1,0.81862150864891
CD8 T Naive,AKNA,-1.0288799563804
CD8 T Naive,UBE2E3,-1.30127594877572
CD8 T Naive,TYMP,-1.38991521881938
CD8 T Naive,LDLRAD4,-1.30812469334182
CD8 T Naive,CCND3,0.762517421335014
CD8 T Naive,EML4,-0.890032483503677
CD8 T Naive,REEP5,-0.814461802505141
CD8 T Naive,ICOS,-1.35275794251379
CD8 T Naive,CITED2,-1.22902119305242
CD8 T Naive,CD96,-0.894115562941304
CD8 T Naive,AKIRIN2,-0.960750454192397
CD8 T Naive,MTHFD2,-1.12238009985734
CD8 T Naive,RBPJ,-0.775383634367708
CD8 T Naive,HERPUD2,-0.860416136573511
CD8 T Naive,AHSA1,-1.07630759570534
CD8 T Naive,ITGA4,-0.901328093819503
CD8 T Naive,RIC8A,-0.755245978234977
CD8 T Naive,PDE4B,-0.88643897283472
CD8 T Naive,SH3GLB1,-0.792836542054964
CD8 T Naive,ITGB1,-0.958535763233299
CD8 T Naive,HMGN2,-0.76626419963971
CD8 T Naive,TANK,-1.08694565846989
CD8 T Naive,TPM4,-1.04098093376477
CD8 T Naive,IQGAP1,-0.705166867891577
CD8 T Naive,NFATC2,-0.884246090165312
CD8 T Naive,WAS,-0.982574226788909
CD8 T Naive,CDKN1A,-1.07367923574703
CD8 T Naive,FOSB,-1.28812064869103
CD8 T Naive,SERTAD1,-0.922800118690552
CD8 T Naive,STX11,-1.15470634986769
CD8 T Naive,ZC3H12A,-1.25979595180348
CD8 T Naive,DDIT4,-0.911403518163491
CD8 T Naive,BST2,-0.905631840748001
CD8 T Naive,IDI1,-1.0450875904393
CD8 T Naive,APLP2,-1.03788682439782
CD8 T Naive,CSRNP1,-0.726792439096365
CD8 T Naive,GSPT1,-0.819140982749466
CD8 T Naive,AP3S1,-0.982555274838702
CD8 T Naive,BIRC3,-0.753347931473312
CD8 T Naive,RTF1,-0.975509026111947
CD8 T Naive,DHRS7,-0.897773232043389
CD8 T Naive,RANBP2,-0.893724367154229
CD8 T Naive,CNN2,-0.799449760373132
CD8 T Naive,MGAT1,-0.922265979142638
CD8 T Naive,ARPP19,-0.833463771877563
CD8 T Naive,SLC2A3,-0.746431214136778
CD8 T Naive,"AC016831,7",-0.701136599652187
CD8 T Naive,CLK1,-0.864406340081839
CD8 T Naive,ZFAND5,-0.95830033509906
CD8 T Naive,CNPPD1,-0.708057522326706
CD8 T Naive,CHD1,-0.754397348871301
CD8 T Naive,TUBA1C,-0.717073218254349
CD8 T Naive,CLDND1,-1.02159050924977
CD8 T Naive,BTG3,-0.880436768938343
CD8 T Naive,PTGER4,-0.79299588223098
CD8 T Naive,CHORDC1,-1.09219403165414
CD8 T Naive,RALGAPA1,-0.87610302428021
CD8 T Naive,ZFAND2A,-1.23999928320991
CD8 T Naive,PAF1,-0.70305861970234
CD8 T Naive,PSMD13,-0.694525858886053
CD8 T Naive,ARPC5L,-0.74669323396454
CD8 T Naive,GOLGB1,-0.889027834419338
CD8 T Naive,MFSD10,-0.872084139059248
