"cell_type","gene_identifier","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (bronchial)","MUC5B","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (bronchial)","RARRES1","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (bronchial)","SAA1","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (bronchial)","ANKRD36C","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (bronchial)","SAA2","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (bronchial)","LYZ","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (bronchial)","PLCG2","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (bronchial)","FCGBP","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (bronchial)","RIMS1","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (bronchial)","MUC5AC","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (subsegmental)","TSPAN8","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (subsegmental)","MUC5B","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (subsegmental)","C16orf89","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (subsegmental)","MTRNR2L10","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (subsegmental)","CLCA2","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (subsegmental)","CFD","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (subsegmental)","KIAA1324","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (subsegmental)","LTF","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (subsegmental)","TMEM45A","","","","","","","","","","","","","","","","","","","","","","","",""
"Goblet (subsegmental)","FCGBP","","","","","","","","","","","","","","","","","","","","","","","",""
"Transitional Club-AT2","SCGB3A2","","","","","","","","","","","","","","","","","","","","","","","",""
"Transitional Club-AT2","MGP","","","","","","","","","","","","","","","","","","","","","","","",""
"Transitional Club-AT2","C16orf89","","","","","","","","","","","","","","","","","","","","","","","",""
"Transitional Club-AT2","SFTA1P","","","","","","","","","","","","","","","","","","","","","","","",""
"Transitional Club-AT2","VIM","","","","","","","","","","","","","","","","","","","","","","","",""
"Transitional Club-AT2","SFTPA2","","","","","","","","","","","","","","","","","","","","","","","",""
"Transitional Club-AT2","CAV1","","","","","","","","","","","","","","","","","","","","","","","",""
"Transitional Club-AT2","ICAM1","","","","","","","","","","","","","","","","","","","","","","","",""
"Transitional Club-AT2","SUSD2","","","","","","","","","","","","","","","","","","","","","","","",""
"Ionocyte","RARRES2","","","","","","","","","","","","","","","","","","","","","","","",""
"Ionocyte","TMEM61","","","","","","","","","","","","","","","","","","","","","","","",""
"Ionocyte","ASCL3","","","","","","","","","","","","","","","","","","","","","","","",""
"Ionocyte","SCNN1B","","","","","","","","","","","","","","","","","","","","","","","",""
"Ionocyte","STAP1","","","","","","","","","","","","","","","","","","","","","","","",""
"Ionocyte","ATP6V1A","","","","","","","","","","","","","","","","","","","","","","","",""
"Ionocyte","CFTR","","","","","","","","","","","","","","","","","","","","","","","",""
"Ionocyte","HEPACAM2","","","","","","","","","","","","","","","","","","","","","","","",""
"Ionocyte","CLCNKB","","","","","","","","","","","","","","","","","","","","","","","",""
"Ionocyte","FOXI1","","","","","","","","","","","","","","","","","","","","","","","",""
"Tuft","STMN1","","","","","","","","","","","","","","","","","","","","","","","",""
"Tuft","MARCKSL1","","","","","","","","","","","","","","","","","","","","","","","",""
"Tuft","RASSF6","","","","","","","","","","","","","","","","","","","","","","","",""
"Tuft","CRYM","","","","","","","","","","","","","","","","","","","","","","","",""
"Tuft","HES6","","","","","","","","","","","","","","","","","","","","","","","",""
"Tuft","KIT","","","","","","","","","","","","","","","","","","","","","","","",""
"Tuft","AZGP1","","","","","","","","","","","","","","","","","","","","","","","",""
"Tuft","HOMER3","","","","","","","","","","","","","","","","","","","","","","","",""
"Tuft","NREP","","","","","","","","","","","","","","","","","","","","","","","",""
"Tuft","LRMP","","","","","","","","","","","","","","","","","","","","","","","",""
