A1BG-AS1
A2M
A2ML1
AADAC
AADACL2
AARD
AASDH
ABALON
ABCA1
ABCA13
ABCA2
ABCA3
ABCA4
ABCA6
ABCA7
ABCA8
ABCB5
ABCB6
ABCC3
ABCC9
ABCE1
ABCG1
ABCG2
ABHD1
ABHD10
ABHD2
ABHD5
ABI3BP
ABITRAM
ABLIM1
ABLIM2
ABR
ABTB1
ABTB2
AC002331.1
AC002456.2
AC003092.1
AC005253.2
AC005355.2
AC005480.1
AC005498.3
AC006994.2
AC007292.3
AC007325.4
AC007620.3
AC008268.1
AC009495.2
AC009506.1
AC010287.1
AC011997.1
AC012368.1
AC017002.1
AC061992.2
AC062029.1
AC073254.1
AC078883.3
AC083843.2
AC090616.2
AC092484.1
AC092580.4
AC093323.3
AC100830.3
AC104024.1
AC104653.1
AC109642.1
AC113404.1
AC133644.2
AC144831.1
AC147651.4
ACAD10
ACADVL
ACAN
ACAT2
ACD
ACER2
ACKR1
ACKR3
ACMSD
ACO1
ACOD1
ACOT4
ACOT7
ACOX1
ACOXL
ACP3
ACP5
ACRBP
ACSL1
ACSL3
ACSM3
ACTA1
ACTA2
ACTB
ACTC1
ACTG2
ACTN2
ACTR10
ACTR3B
ACTR3C
ACTR5
ACTRT3
ACVR1C
ACVR2B
ACVRL1
ACY3
ADAM12
ADAM15
ADAM19
ADAM28
ADAM29
ADAM32
ADAMDEC1
ADAMTS1
ADAMTS10
ADAMTS12
ADAMTS16
ADAMTS17
ADAMTS18
ADAMTS2
ADAMTS3
ADAMTS4
ADAMTS5
ADAMTS6
ADAMTS8
ADAMTS9
ADAMTS9-AS2
ADAMTSL4
ADAP1
ADARB2
ADAT1
ADCK1
ADCY1
ADCY10
ADCY4
ADCYAP1
ADGB
ADGRB3
ADGRE1
ADGRE2
ADGRF1
ADGRF4
ADGRF5
ADGRG1
ADGRG3
ADGRG5
ADGRG6
ADGRL2
ADGRL4
ADH1B
ADH1C
ADH7
ADIPOR2
ADIRF
ADM
ADM2
ADM5
ADORA3
ADPRHL1
ADRA2A
ADSS1
ADTRP
AEBP1
AF213884.2
AFDN
AFDN-DT
AFF3
AFG1L
AGA
AGAP1
AGAP4
AGBL1
AGBL5-AS1
AGER
AGMO
AGO4
AGR2
AGR3
AGRN
AGRP
AGT
AGTR1
AGTR2
AHCYL2
AHNAK
AHNAK2
AHSP
AICDA
AIF1
AIF1L
AIG1
AIMP1
AIPL1
AK1
AK4
AK6
AK7
AK8
AK9
AKAP12
AKAP13
AKAP14
AKAP3
AKAP8
AKIP1
AKR1B1
AKR1B10
AKR1B15
AKR1C1
AKR1C2
AKR1C3
AKR1E2
AKR7A3
AKT2
AKT3
AL592183.1
ALAD
ALAS2
ALB
ALCAM
ALDH1A1
ALDH1A2
ALDH1A3
ALDH1B1
ALDH1L1
ALDH2
ALDH3A1
ALDH3B1
ALDH3B2
ALDH8A1
ALG10
ALG10B
ALG1L
ALG1L2
ALG3
ALG9
ALKAL1
ALKAL2
ALKBH7
ALOX12
ALOX12B
ALOX15
ALOX15B
ALOX5
ALOX5AP
ALOXE3
ALPG
ALPL
ALPP
AMACR
AMBP
AMBRA1
AMER2
AMHR2
AMIGO2
AMN
AMPD1
AMPD2
AMTN
ANAPC1
ANAPC10
ANGPT1
ANGPT2
ANGPTL1
ANGPTL2
ANGPTL4
ANGPTL5
ANGPTL7
ANGPTL8
ANK2
ANK3
ANKFN1
ANKFY1
ANKH
ANKMY1
ANKRA2
ANKRD1
ANKRD20A3P
ANKRD20A4-ANKRD20A20P
ANKRD22
ANKRD23
ANKRD27
ANKRD29
ANKRD33B
ANKRD34A
ANKRD34B
ANKRD36B
ANKRD36C
ANKRD37
ANKRD66
ANKRD7
ANKS4B
ANKUB1
ANLN
ANO2
ANO5
ANOS1
ANPEP
ANTXR1
ANXA1
ANXA3
ANXA6
ANXA8
AOAH
AOC1
AOC2
AOC3
AOPEP
AOX1
AP000350.5
AP000442.1
AP000769.1
AP001056.1
AP001412.1
AP001437.1
AP006621.5
AP1M2
AP1S1
AP1S3
AP2S1
AP4B1-AS1
AP4S1
AP5M1
APCDD1L
APEH
APIP
APLN
APLNR
APOA1
APOB
APOBEC2
APOBEC3A
APOBEC4
APOC1
APOC2
APOC4-APOC2
APOD
APOE
APOH
APOL1
APOL4
APOLD1
APOO
APP
APPBP2
APPL1
AQP1
AQP10
AQP2
AQP3
AQP4
AQP5
AQP9
ARAP2
ARC
AREG
ARFGEF3
ARFIP2
ARFRP1
ARG1
ARG2
ARGLU1
ARHGAP11B
ARHGAP23
ARHGAP24
ARHGAP29
ARHGAP31-AS1
ARHGAP42
ARHGAP44
ARHGAP5-AS1
ARHGDIB
ARHGEF16
ARHGEF35
ARHGEF38
ARID5A
ARIH2OS
ARL10
ARL14
ARL14EP
ARL14EPL
ARL17B
ARL2
ARL4A
ARL4C
ARL4D
ARMC2
ARMC3
ARMCX2
ARMCX6
ARMH1
ARMH2
ARRDC3
ARRDC4
ARSD
ARSG
ART4
ART5
ARX
ASAH1
ASB16-AS1
ASB8
ASCL1
ASCL2
ASCL5
ASF1B
ASGR2
ASH1L-AS1
ASIC1
ASIC3
ASMT
ASMTL-AS1
ASNS
ASPG
ASPH
ASPM
ASPN
ASPRV1
ASRGL1
ASS1
ASXL3
ATAD2
ATAT1
ATF3
ATF5
ATF6
ATF7IP2
ATG101
ATG13
ATG2A
ATG4A
ATG9B
ATP10B
ATP11A
ATP12A
ATP13A2
ATP13A4
ATP1A2
ATP1A4
ATP1B1
ATP1B3
ATP23
ATP2A2
ATP2B1-AS1
