,gene_symbol,alias
9469,TMEM268,TMEM268
9470,SVOPL,SVOPL
9471,SNX22,SNX22
9472,UBN2,UBN2
9473,BRAF,BRAF
9474,SLC34A2,SLC34A2
9475,ACAN,ACAN
9476,PSMG3,PSMG3
9477,CABP1,CABP1
9478,WDR19,WDR19
9479,SLC37A3,SLC37A3
9480,AP3S2,AP3S2
9481,FMNL2,FMNL2
9482,GAREM2,GAREM2
9483,SPPL3,SPPL3
9484,DPYSL5,DPYSL5
9485,DRC1,DRC1
9486,RAB28,RAB28
9487,PRXL2B,PRXL2B
9488,TNFRSF14,TNFRSF14
9489,PANK4,PANK4
9490,CIB4,CIB4
9491,MEGF11,MEGF11
9492,C12orf43,C12orf43
9493,PEX10,PEX10
9494,RER1,RER1
9495,RADIL,RADIL
9496,SKI,SKI
9497,WIPI2,WIPI2
9498,SSX8P,SSX8P
9499,LDLRAP1,LDLRAP1
9500,AGAP1,AGAP1
9501,KRTCAP3,KRTCAP3
9502,ANKRD61,ANKRD61
9503,PAFAH2,PAFAH2
9504,EXTL1,EXTL1
9505,SLC30A2,SLC30A2
9506,BABAM2,BABAM2
9507,TRIM63,TRIM63
9508,CFAP251,WDR66
9509,MRPL17,MRPL17
9510,DUSP2,DUSP2
9511,GRHL3,GRHL3
9512,UBXN11,UBXN11
9513,NLRP14,NLRP14
9514,PTPDC1,PTPDC1
9515,GALNT14,GALNT14
9516,NCK1,NCK1
9517,HPD,HPD
9518,RHPN1,RHPN1
9519,TPRG1L,TPRG1L
9520,LRRC43,LRRC43
9521,PRXL2C,PRXL2C
9522,XDH,XDH
9523,XKR8,XKR8
9524,CNNM4,CNNM4
9525,EYA3,EYA3
9526,DZIP1L,DZIP1L
9527,TMSB15A,TMSB15A
9528,FANCC,FANCC
9529,MRAS,MRAS
9530,WASF2,WASF2
9531,ABHD3,ABHD3
9532,ESYT3,ESYT3
9533,FAIM,FAIM
9534,TENT5B,TENT5B
9535,CLSTN2,CLSTN2
9536,COLEC12,COLEC12
9537,RNF207,RNF207
9538,CUL4B,CUL4B
9539,GPR153,GPR153
9540,SLC13A3,SLC13A3
9541,RHBDL2,RHBDL2
9542,AUTS2,AUTS2
9543,SHROOM4,SHROOM4
9544,H2BC5,HIST1H2BD
9545,CDC25C,CDC25C
9546,H4C8,HIST1H4H
9547,MITD1,MITD1
9548,EIF5B,EIF5B
9549,RIBC1,RIBC1
9550,TMSB15B,TMSB15B
9551,CATIP,CATIP
9552,CNOT11,CNOT11
9553,KCNB1,KCNB1
9554,TSPAN33,TSPAN33
9555,NRG2,NRG2
9556,AHCYL2,AHCYL2
9557,B4GALT5,B4GALT5
9558,CD1D,CD1D
9559,SPATA2,SPATA2
9560,CD1C,CD1C
9561,SNX29P1,SNX29P1
9562,FAM86C1P,FAM86C1
9563,CD1B,CD1B
9564,DNAH3,DNAH3
9565,CD1E,CD1E
9566,CPA2,CPA2
9567,NCF1,NCF1
9568,CPA5,CPA5
9569,TSR2,TSR2
9570,PPP1R9A,PPP1R9A
9571,ZC3H18,ZC3H18
9572,ZFAND2B,ZFAND2B
9573,POM121L2,POM121L2
9574,GDPD5,GDPD5
9575,DYNC1I1,DYNC1I1
9576,PFKFB1,PFKFB1
9577,ALAS2,ALAS2
9578,TMED4,TMED4
9579,PPP1R15B,PPP1R15B
9580,COPG2,COPG2
9581,EMSY,EMSY
9582,GPAT4,GPAT4
9583,ZSCAN12,ZSCAN12
9584,TAGLN2,TAGLN2
9585,ELK4,ELK4
9586,SLAMF8,SLAMF8
9587,SLC45A3,SLC45A3
9588,DUSP23,DUSP23
9589,RNF166,RNF166
9590,HTR6,HTR6
9591,ITLN2,ITLN2
9592,F11R,F11R
9593,USF1,USF1
9594,PLA2G2F,PLA2G2F
9595,SPATA2L,SPATA2L
9596,NIT1,NIT1
9597,DEDD,DEDD
9598,ZNF276,ZNF276
9599,NPM2,NPM2
9600,EDA,EDA
9601,FGF17,FGF17
9602,VWA5B1,VWA5B1
9603,CDA,CDA
9604,PINK1,PINK1
9605,B4GALT3,B4GALT3
9606,DMTN,DMTN
9607,ADAMTS4,ADAMTS4
9608,FHIP2B,FAM160B2
9609,NDUFS2,NDUFS2
9610,SLC5A11,SLC5A11
9611,FCER1G,FCER1G
9612,APOA2,APOA2
9613,TOMM40L,TOMM40L
9614,MPZ,MPZ
9615,WFDC8,WFDC8
9616,CCAR2,CCAR2
9617,WNT9B,WNT9B
9618,CACHD1,CACHD1
9619,CDC42SE2,CDC42SE2
9620,RAPGEF6,RAPGEF6
9621,EPB41,EPB41
9622,MIS18A,MIS18A
9623,ALG8,ALG8
9624,FBXW5,FBXW5
9625,SYNJ1,SYNJ1
9626,PAXBP1,PAXBP1
9627,IFNAR2,IFNAR2
9628,MRPL10,MRPL10
9629,IFNGR2,IFNGR2
9630,GART,GART
9631,SON,SON
9632,DONSON,DONSON
9633,SV2A,SV2A
9634,LAD1,LAD1
9635,STC1,STC1
9636,TNNI1,TNNI1
9637,CSRP1,CSRP1
9638,ENSG00000159186,ENSG00000159186
9639,C1QC,C1QC
9640,KCNE2,KCNE2
9641,ATP5MC1,ATP5MC1
9642,RCAN1,RCAN1
9643,UBE2Z,UBE2Z
9644,CIART,CIART
9645,SNF8,SNF8
9646,CLIC6,CLIC6
9647,CCDC24,CCDC24
9648,RUNX1,RUNX1
9649,IGF2BP1,IGF2BP1
9650,GIP,GIP
9651,CBR1,CBR1
9652,CBR3,CBR3
9653,ENSG00000159239,ENSG00000159239
9654,TUBBP5,TUBBP5
9655,MORC3,MORC3
9656,CHAF1B,CHAF1B
9657,CLDN14,CLDN14
9658,SIM2,SIM2
9659,HLCS,HLCS
9660,GOLGA6A,GOLGA6A
9661,SCUBE1,SCUBE1
9662,ARHGAP27,ARHGAP27
9663,ADPGK,ADPGK
9664,PTMS,PTMS
9665,PLA2G4D,PLA2G4D
9666,PADI4,PADI4
9667,ADIPOR1,ADIPOR1
9668,CYB5R1,CYB5R1
9669,PSMD4,PSMD4
9670,ATP13A2,ATP13A2
9671,M1AP,M1AP
9672,PSMB4,PSMB4
9673,IRX6,IRX6
9674,BTG2,BTG2
9675,CES5A,CES5A
9676,HK2,HK2
9677,C1R,C1R
9678,STARD9,STARD9
9679,THEM4,THEM4
9680,TCHH,TCHH
9681,UBR1,UBR1
9682,AMFR,AMFR
9683,MED8,MED8
9684,TGM7,TGM7
9685,RGL4,RGL4
9686,ISL2,ISL2
9687,RSPRY1,RSPRY1
9688,CCDC17,CCDC17
9689,GPBP1L1,GPBP1L1
9690,NAE1,NAE1
9691,TMEM69,TMEM69
9692,ADGRG5,ADGRG5
9693,DRC7,DRC7
9694,ACE,ACE
9695,TEPP,TEPP
9696,UROC1,UROC1
9697,EFCAB14,EFCAB14
9698,SPON2,SPON2
9699,CHCHD6,CHCHD6
9700,CTBP1,CTBP1
9701,LRRC36,LRRC36
9702,ANKRD18CP,ANKRD18CP
9703,TPPP3,TPPP3
9704,ZDHHC1,ZDHHC1
9705,ATP6V0D1,ATP6V0D1
9706,AGRP,AGRP
9707,ZFYVE28,ZFYVE28
9708,CARMIL2,CARMIL2
9709,C16orf86,C16orf86
9710,PIP,PIP
9711,RGS12,RGS12
9712,PSKH1,PSKH1
9713,ZYX,ZYX
9714,ABR,ABR
9715,LYPD5,LYPD5
9716,CCDC117,CCDC117
9717,ZNF230,ZNF230
9718,CCDC107,CCDC107
9719,ZNF222,ZNF222
9720,NPR2,NPR2
9721,ZNF890P,ZNF890P
9722,ZNF221,ZNF221
9723,ZNF233,ZNF233
9724,ZNF235,ZNF235
9725,GNE,GNE
9726,TNFRSF13C,TNFRSF13C
9727,OR3A3,OR3A3
9728,ARHGAP35,ARHGAP35
9729,PTGIR,PTGIR
9730,CALM3,CALM3
9731,DFFA,DFFA
9732,CCDC28B,CCDC28B
9733,IQCC,IQCC
9734,TMEM234,TMEM234
9735,BSDC1,BSDC1
9736,ATAD3B,ATAD3B
9737,SSU72,SSU72
9738,UBE2J2,UBE2J2
9739,ZNF362,ZNF362
9740,FNDC5,FNDC5
9741,CPAMD8,CPAMD8
9742,NR2F6,NR2F6
9743,ANKLE1,ANKLE1
9744,MIX23,CCDC58
9745,VMA21,VMA21
9746,KALRN,KALRN
9747,CILP2,CILP2
9748,FAM86C2P,FAM86C2P
9749,ABCG1,ABCG1
9750,TFF3,TFF3
9751,TFF2,TFF2
9752,TFF1,TFF1
9753,TMPRSS3,TMPRSS3
9754,UBASH3A,UBASH3A
9755,RSPH1,RSPH1
9756,SLC37A1,SLC37A1
9757,PDE9A,PDE9A
9758,WDR4,WDR4
9759,NDUFV3,NDUFV3
9760,PKNOX1,PKNOX1
9761,CBS,CBS
9762,U2AF1,U2AF1
9763,HSF2BP,HSF2BP
9764,RRP1B,RRP1B
9765,PDXK,PDXK
9766,G6PD,G6PD
9767,CSTB,CSTB
9768,RRP1,RRP1
9769,AGPAT3,AGPAT3
9770,TRAPPC10,TRAPPC10
9771,GAB3,GAB3
9772,GATD3,GATD3A
9773,ICOSLG,ICOSLG
9774,AIRE,AIRE
9775,CFAP410,CFAP410
9776,ZNF66,ZNF66
9777,LRRC3,LRRC3
9778,ITGB2,ITGB2
9779,SLX9,FAM207A
9780,RALGDS,RALGDS
9781,FTCD,FTCD
9782,SPATC1L,SPATC1L
9783,LSS,LSS
9784,VAV2,VAV2
9785,MCM3AP,MCM3AP
9786,C21orf58,C21orf58
9787,PCNT,PCNT
9788,DIP2A,DIP2A
9789,S100B,S100B
9790,PRMT2,PRMT2
9791,CLDND2,CLDND2
9792,ZNF208,ZNF208
9793,ADAMTS13,ADAMTS13
9794,CACFD1,CACFD1
9795,SLC2A6,SLC2A6
9796,ZNF761,ZNF761
9797,C9orf116,C9orf116
9798,ZNF714,ZNF714
9799,GPSM1,GPSM1
9800,C19orf47,C19orf47
9801,HIPK4,HIPK4
9802,CFAP157,CFAP157
9803,TOR2A,TOR2A
9804,ST6GALNAC6,ST6GALNAC6
9805,SHKBP1,SHKBP1
9806,RDH13,RDH13
9807,ZER1,ZER1
9808,ZDHHC12,ZDHHC12
9809,PKN3,PKN3
9810,SPTBN4,SPTBN4
9811,BRSK1,BRSK1
9812,COX6B2,COX6B2
9813,TMEM190,TMEM190
9814,NLRP4,NLRP4
9815,PLPP7,PLPP7
9816,TAOK1,TAOK1
9817,MED27,MED27
9818,DEDD2,DEDD2
9819,SIK3,SIK3
9820,MPZL3,MPZL3
9821,JAML,JAML
9822,NEK8,NEK8
9823,TLCD1,TLCD1
9824,PCSK7,PCSK7
9825,SAFB,SAFB
9826,CD3G,CD3G
9827,S100A1,S100A1
9828,CHTOP,CHTOP
9829,CXCR5,CXCR5
9830,ZBTB7B,ZBTB7B
9831,FLAD1,FLAD1
9832,SHC1,SHC1
9833,VPS11,VPS11
9834,NLRX1,NLRX1
9835,ADAR,ADAR
9836,IL6R,IL6R
9837,UBE2Q1,UBE2Q1
9838,CHRNB2,CHRNB2
9839,CRTC2,CRTC2
9840,ANO10,ANO10
9841,FDPS,FDPS
9842,RUSC1,RUSC1
9843,GBAP1,GBAP1
9844,FAM189B,FAM189B
9845,PAQR6,PAQR6
9846,SLC25A44,SLC25A44
9847,LMNA,LMNA
9848,CCR5,CCR5
9849,NBEAL2,NBEAL2
9850,CCDC12,CCDC12
9851,PTH1R,PTH1R
9852,UBQLN4,UBQLN4
9853,PPP1R35,PPP1R35
9854,GPATCH4,GPATCH4
9855,LRRC71,LRRC71
9856,FCRL3,FCRL3
9857,AZGP1,AZGP1
9858,FGFR4,FGFR4
9859,CYP3A4,CYP3A4
9860,NACC1,NACC1
9861,HK3,HK3
9862,LY6K,LY6K
9863,IER2,IER2
9864,ZNF394,ZNF394
9865,CPSF4,CPSF4
9866,LY6E,LY6E
9867,VPS28,VPS28
9868,TONSL,TONSL
9869,PTGER1,PTGER1
9870,PWWP3A,MUM1
9871,RECQL4,RECQL4
9872,LRRC14,LRRC14
9873,ZNF333,ZNF333
9874,COL26A1,COL26A1
9875,PPP1R16A,PPP1R16A
9876,ORAI2,ORAI2
9877,ALKBH4,ALKBH4
9878,SH2B2,SH2B2
9879,MRNIP,MRNIP
9880,SQSTM1,SQSTM1
9881,MGAT4B,MGAT4B
9882,RPL8,RPL8
9883,MAML1,MAML1
9884,PGLYRP2,PGLYRP2
9885,LRWD1,LRWD1
9886,FBXL13,FBXL13
9887,NAPEPLD,NAPEPLD
9888,SCGB3A1,SCGB3A1
9889,PSMC2,PSMC2
9890,CELF5,CELF5
9891,MFSD12,MFSD12
9892,ENSG00000161103,ENSG00000161103
9893,ENSG00000161132,ENSG00000161132
9894,USP41,USP41
9895,YDJC,YDJC
9896,DVL3,DVL3
9897,AP2M1,AP2M1
9898,ABCF3,ABCF3
9899,PCYT1A,PCYT1A
9900,FBXO27,FBXO27
9901,DMKN,DMKN
9902,BDH1,BDH1
9903,NPHS1,NPHS1
9904,THAP8,THAP8
9905,COX7A1,COX7A1
9906,ZNF382,ZNF382
9907,LRRC56,LRRC56
9908,PLXDC1,PLXDC1
9909,PGAP3,PGAP3
9910,IKZF3,IKZF3
9911,GRIN2C,GRIN2C
9912,FDXR,FDXR
9913,SAP30BP,SAP30BP
9914,ACOX1,ACOX1
9915,PRPSAP1,PRPSAP1
9916,CYGB,CYGB
9917,SRSF2,SRSF2
9918,ZNF577,ZNF577
9919,TMEM143,TMEM143
9920,KLHL10,KLHL10
9921,KASH5,CCDC155
9922,HCRT,HCRT
9923,ALDH16A1,ALDH16A1
9924,DCD,DCD
9925,ITGA5,ITGA5
9926,SIGLEC11,SIGLEC11
9927,ZNF385A,ZNF385A
9928,SIGLEC16,SIGLEC16
9929,MPP3,MPP3
9930,CD300LG,CD300LG
9931,IZUMO2,IZUMO2
9932,NAGS,NAGS
9933,LSM12,LSM12
9934,ASB16,ASB16
9935,EMC10,EMC10
9936,JOSD2,JOSD2
9937,SHANK1,SHANK1
9938,DBF4B,DBF4B
9939,PLCD3,PLCD3
9940,FMNL3,FMNL3
9941,AQP5,AQP5
9942,RACGAP1,RACGAP1
9943,LARP4,LARP4
9944,TAMALIN,GRASP
9945,RAVER1,RAVER1
9946,SYCE2,SYCE2
9947,SPC24,SPC24
9948,IP6K3,IP6K3
9949,LEMD2,LEMD2
9950,ALOX15,ALOX15
9951,TREML1,TREML1
9952,ADCY10P1,ADCY10P1
9953,MED11,MED11
9954,CXCL16,CXCL16
9955,SCIMP,SCIMP
9956,BCL6B,BCL6B
9957,ASGR2,ASGR2
9958,SENP3,SENP3
9959,CCDC42,CCDC42
9960,POLR3K,POLR3K
9961,SNRNP25,SNRNP25
9962,WDR90,WDR90
9963,JMJD8,JMJD8
9964,CCDC78,CCDC78
9965,MSLNL,MSLNL
9966,SPSB3,SPSB3
9967,MEIOB,MEIOB
9968,HS3ST6,HS3ST6
9969,TEDC2,TEDC2
9970,CCNF,CCNF
9971,TBC1D24,TBC1D24
9972,AMDHD2,AMDHD2
9973,BICDL2,BICDL2
9974,PAQR4,PAQR4
9975,FLYWCH2,FLYWCH2
9976,ZG16B,ZG16B
9977,ZNF75A,ZNF75A
9978,ADCY9,ADCY9
9979,SHANK2,SHANK2
9980,CLPB,CLPB
9981,NEU3,NEU3
9982,CYB561A3,CYB561A3
9983,PPP1R32,PPP1R32
9984,ASRGL1,ASRGL1
9985,UBXN1,UBXN1
9986,LBHD1,LBHD1
9987,TTC9C,TTC9C
9988,TAF6L,TAF6L
9989,NXF1,NXF1
9990,STX5,STX5
9991,SLC25A45,SLC25A45
9992,RPL29,RPL29
9993,ITIH3,ITIH3
9994,SYVN1,SYVN1
9995,ZFPL1,ZFPL1
9996,RPS6KA4,RPS6KA4
9997,LRP5,LRP5
9998,TPCN2,TPCN2
9999,FGF19,FGF19
10000,PDZK1IP1,PDZK1IP1
10001,TAL1,TAL1
10002,CMPK1,CMPK1
10003,ELAVL4,ELAVL4
10004,COA7,COA7
10005,ZYG11B,ZYG11B
10006,SLC1A7,SLC1A7
10007,CZIB,C1orf123
10008,MAGOH,MAGOH
10009,ACOT11,ACOT11
10010,PARS2,PARS2
10011,LEXM,LEXM
10012,BSND,BSND
10013,USP24,USP24
10014,PLPP3,PLPP3
10015,NOL9,NOL9
10016,PRKAA2,PRKAA2
10017,KLHL21,KLHL21
10018,ZSWIM5,ZSWIM5
10019,GMEB1,GMEB1
10020,SLC45A1,SLC45A1
10021,SELENON,SELENON
10022,AK4,AK4
10023,JAK1,JAK1
10024,RAVER2,RAVER2
10025,CTRC,CTRC
10026,LZIC,LZIC
10027,RBP7,RBP7
10028,FBLIM1,FBLIM1
10029,SLC25A34,SLC25A34
10030,AKR7A3,AKR7A3
10031,DRAXIN,DRAXIN
10032,PDPN,PDPN
10033,LRRC38,LRRC38
10034,DHRS3,DHRS3
10035,MATN1,MATN1
10036,LAPTM5,LAPTM5
10037,SDC3,SDC3
10038,PEF1,PEF1
10039,SYNC,SYNC
10040,RBBP4,RBBP4
10041,KIAA1522,KIAA1522
10042,TSSK3,TSSK3
10043,TMCO4,TMCO4
10044,UBXN10,UBXN10
10045,CAMK2N1,CAMK2N1
10046,ALPL,ALPL
10047,WNT4,WNT4
10048,TTLL10,TTLL10
10049,SCNN1D,SCNN1D
10050,MXRA8,MXRA8
10051,FAAP20,FAAP20
10052,MEGF6,MEGF6
10053,CCDC27,CCDC27
10054,IL23R,IL23R
10055,DIRAS3,DIRAS3
10056,C1orf87,C1orf87
10057,NFIA,NFIA
10058,MYSM1,MYSM1
10059,TM2D1,TM2D1
10060,USP1,USP1
10061,FUBP1,FUBP1
10062,NEXN,NEXN
10063,DNAJB4,DNAJB4
10064,ADGRL4,ADGRL4
10065,LRRIQ3,LRRIQ3
10066,TYW3,TYW3
10067,SNX7,SNX7
10068,B3GALT2,B3GALT2
10069,NTNG1,NTNG1
10070,FAM102B,FAM102B
10071,HENMT1,HENMT1
10072,AKNAD1,AKNAD1
10073,C1orf52,C1orf52
10074,DNAI3,WDR63
10075,GBP2,GBP2
10076,ATXN7L2,ATXN7L2
10077,GBP4,GBP4
10078,ZNF326,ZNF326
10079,HFM1,HFM1
10080,BRINP3,BRINP3
10081,GFI1,GFI1
10082,LSP1P3,LSP1P3
10083,KCNT2,KCNT2
10084,AGL,AGL
10085,VCAM1,VCAM1
10086,EXTL2,EXTL2
10087,SLC30A7,SLC30A7
10088,ZNF281,ZNF281
10089,ARPC5,ARPC5
10090,CADM3,CADM3
10091,NLRP3,NLRP3
10092,ZNF496,ZNF496
10093,TRIM58,TRIM58
10094,SLAMF9,SLAMF9
10095,KCNJ9,KCNJ9
10096,IGSF8,IGSF8
10097,DDR2,DDR2
10098,PEA15,PEA15
10099,PEX19,PEX19
10100,NCSTN,NCSTN
10101,VANGL2,VANGL2
10102,SLAMF6,SLAMF6
10103,OLFML2B,OLFML2B
10104,FCRLB,FCRLB
10105,FCGR3B,FCGR3B
10106,SLC9C2,SLC9C2
10107,KLHDC9,KLHDC9
10108,C1orf74,C1orf74
10109,LMX1A,LMX1A
10110,FLVCR1,FLVCR1
10111,ATF3,ATF3
10112,RBM15,RBM15
10113,DENND2D,DENND2D
10114,AXDND1,AXDND1
10115,TDRD5,TDRD5
10116,IER5,IER5
10117,SNED1,SNED1
10118,BPNT1,BPNT1
10119,SPATA17,SPATA17
10120,C1orf115,C1orf115
10121,BROX,BROX
10122,NBPF20,NBPF20
10123,ACP6,ACP6
10124,MT2P1,MT2P1
10125,WDR64,WDR64
10126,KIF26B,KIF26B
10127,TFB2M,TFB2M
10128,CNST,CNST
10129,PPP1R21,PPP1R21
10130,KLHDC8A,KLHDC8A
10131,PM20D1,PM20D1
10132,PKDCC,PKDCC
10133,OXER1,OXER1
10134,HAAO,HAAO
10135,B3GALNT2,B3GALNT2
10136,C1orf147,C1orf147
10137,MAPKAPK2,MAPKAPK2
10138,IL24,IL24
10139,FCMR,FCMR
10140,PIGR,PIGR
10141,FCAMR,FCAMR
10142,CAPN2,CAPN2
10143,MRPL55,MRPL55
10144,OBSCN-AS1,OBSCN-AS1
10145,WDR26,WDR26
10146,REL,REL
10147,PUS10,PUS10
10148,PEX13,PEX13
10149,SANBR,KIAA1841
10150,TRIM17,TRIM17
10151,RFTN2,RFTN2
10152,DISC1,DISC1
10153,LINC01931,LINC01931
10154,CAPN13,CAPN13
10155,MEMO1,MEMO1
10156,DPY30,DPY30
10157,TYW5,TYW5
10158,MAIP1,MAIP1
10159,SLC66A3,PQLC3
10160,ARL5A,ARL5A
10161,LRATD1,FAM84A
10162,KCNJ3,KCNJ3
10163,CLHC1,CLHC1
10164,PRORSD1P,PRORSD1P
10165,FRZB,FRZB
10166,DUSP19,DUSP19
10167,CFAP36,CFAP36
10168,NUP35,NUP35
10169,CCDC138,CCDC138
10170,RRM2,C2orf48
10171,ZSWIM2,ZSWIM2
10172,FBXO41,FBXO41
10173,ALMS1P1,ALMS1P1
10174,ACTG2,ACTG2
10175,WDCP,WDCP
10176,SMC6,SMC6
10177,VSNL1,VSNL1
10178,CCDC74A,CCDC74A
10179,H3-3A,H3F3A
10180,ANKRD30BL,ANKRD30BL
10181,COQ8A,COQ8A
10182,SLC16A14,SLC16A14
10183,TEKT4,TEKT4
10184,SGCB,SGCB
10185,SPATA18,SPATA18
10186,NOSTRIN,NOSTRIN
10187,CFAP221,CFAP221
10188,SGPP2,SGPP2
10189,INHBB,INHBB
10190,XIRP2,XIRP2
10191,BBS5,BBS5
10192,SMARCAD1,SMARCAD1
10193,HPGDS,HPGDS
10194,PDLIM5,PDLIM5
10195,STPG2,STPG2
10196,NEURL3,NEURL3
10197,RPRD2,RPRD2
10198,ANKRD23,ANKRD23
10199,CTSS,CTSS
10200,MSX1,MSX1
10201,PACRGL,PACRGL
10202,BNIPL,BNIPL
10203,C1QTNF7,C1QTNF7
10204,TNFAIP8L2,TNFAIP8L2
10205,LYSMD1,LYSMD1
10206,SCNM1,SCNM1
10207,TMOD4,TMOD4
10208,VPS72,VPS72
10209,ERCC3,ERCC3
10210,RNF149,RNF149
10211,IWS1,IWS1
10212,BOLA3,BOLA3
10213,CDC42EP3,CDC42EP3
10214,S100A11,S100A11
10215,DHX57,DHX57
10216,PGLYRP4,PGLYRP4
10217,ARHGAP25,ARHGAP25
10218,S100A9,S100A9
10219,S100A12,S100A12
10220,TGFA,TGFA
10221,TDRD10,TDRD10
10222,CCNYL1,CCNYL1
10223,FZD5,FZD5
10224,DCAF16,DCAF16
10225,C1orf189,C1orf189
10226,NPPC,NPPC
10227,GNPDA2,GNPDA2
10228,ALPP,ALPP
10229,GABRG1,GABRG1
10230,GABRB1,GABRB1
10231,PAQR3,PAQR3
10232,NIPAL1,NIPAL1
10233,ANTXR2,ANTXR2
10234,HELQ,HELQ
10235,MRPS18C,MRPS18C
10236,CGGBP1,CGGBP1
10237,ABRAXAS1,ABRAXAS1
10238,GPR155,GPR155
10239,DAPL1,DAPL1
10240,PMVK,PMVK
10241,PBXIP1,PBXIP1
10242,CLDN1,CLDN1
10243,PYGO2,PYGO2
10244,HIPK1,HIPK1
10245,DCST2,DCST2
10246,DCST1,DCST1
10247,COL6A3,COL6A3
10248,INAVA,INAVA
10249,LINC01116,LINC01116
10250,YY1AP1,YY1AP1
10251,KBTBD8,KBTBD8
10252,TAFA4,FAM19A4
10253,EOGT,EOGT
10254,LMOD3,LMOD3
10255,NAXE,NAXE
10256,POGLUT1,POGLUT1
10257,SLC22A15,SLC22A15
10258,CCKAR,CCKAR
10259,IGFN1,IGFN1
10260,ATP1A1,ATP1A1
10261,SLC15A2,SLC15A2
10262,EIF4E3,EIF4E3
10263,PROK2,PROK2
10264,TEX55,C3orf30
10265,LRRC58,LRRC58
10266,FSTL1,FSTL1
10267,LMOD1,LMOD1
10268,ELF3,ELF3
10269,PDCL2,PDCL2
10270,TMEM183A,TMEM183A
10271,TMEM169,TMEM169
10272,IGFBP7,IGFBP7
10273,TRIM46,TRIM46
10274,KRTCAP2,KRTCAP2
10275,CXCR1,CXCR1
10276,ARPC2,ARPC2
10277,TSACC,TSACC
10278,CCT3,CCT3
10279,TMEM79,TMEM79
10280,SSR2,SSR2
10281,RNF25,RNF25
10282,STK36,STK36
10283,ADORA1,ADORA1
10284,NEK10,NEK10
10285,CCDC141,CCDC141
10286,CIP2A,CIP2A
10287,EOMES,EOMES
10288,CWC22,CWC22
10289,AZI2,AZI2
10290,TGFBR2,TGFBR2
10291,ANKZF1,ANKZF1
10292,HDAC11,HDAC11
10293,TRAT1,TRAT1
10294,FBLN2,FBLN2
10295,GLB1L,GLB1L
10296,STT3B,STT3B
10297,CHCHD4,CHCHD4
10298,DPPA2,DPPA2
10299,NFASC,NFASC
10300,FCRL1,FCRL1
10301,SGO2,SGO2
10302,SERPINI1,SERPINI1
10303,CLASP2,CLASP2
10304,SUCLG1,SUCLG1
10305,NUAK2,NUAK2
10306,SPTA1,SPTA1
10307,PRKCI,PRKCI
10308,MNDA,MNDA
10309,PYHIN1,PYHIN1
10310,IFI16,IFI16
10311,AIM2,AIM2
10312,EFHB,EFHB
10313,EIF5A2,EIF5A2
10314,SLC2A2,SLC2A2
10315,RPL22L1,RPL22L1
10316,PPM1L,PPM1L
10317,ICA1L,ICA1L
10318,SNHG16,SNHG16
10319,CTLA4,CTLA4
10320,ICOS,ICOS
10321,RYBP,RYBP
10322,PPP4R2,PPP4R2
10323,CD200R1,CD200R1
10324,GTPBP8,GTPBP8
10325,NEPRO,NEPRO
10326,SPICE1,SPICE1
10327,FAM86KP,FAM86KP
10328,CCDC191,CCDC191
10329,CADPS,CADPS
10330,CDS1,CDS1
10331,WDFY3,WDFY3
10332,COX18,COX18
10333,PTPN13,PTPN13
10334,SYNPR,SYNPR
10335,ALB,ALB
10336,C3orf49,C3orf49
10337,C4orf36,C4orf36
10338,THOC7,THOC7
10339,ATXN7,ATXN7
10340,PSMD6,PSMD6
10341,PRICKLE2,PRICKLE2
10342,ADAMTS9,ADAMTS9
10343,PPM1K,PPM1K
10344,ERICH6,ERICH6
10345,GMPS,GMPS
10346,TIPARP,TIPARP
10347,CCNL1,CCNL1
10348,PTX3,PTX3
10349,HESX1,HESX1
10350,DCLK3,DCLK3
10351,SLMAP,SLMAP
10352,RPL9,RPL9
10353,SMIM14,SMIM14
10354,RPP14,RPP14
10355,ABHD6,ABHD6
10356,DNASE1L3,DNASE1L3
10357,CFAP20DC,C3orf67
10358,RBM47,RBM47
10359,APBB2,APBB2
10360,IL17RE,IL17RE
10361,IL17RC,IL17RC
10362,CRELD1,CRELD1
10363,PRRT3,PRRT3
10364,FANCD2OS,FANCD2OS
10365,PCOLCE2,PCOLCE2
10366,U2SURP,U2SURP
10367,MTMR14,MTMR14
10368,TTC14,TTC14
10369,CXCL3,CXCL3
10370,CXCL5,CXCL5
10371,PPBP,PPBP
10372,PF4,PF4
10373,MTHFD2L,MTHFD2L
10374,CXCL1,CXCL1
10375,RCHY1,RCHY1
10376,PLSCR2,PLSCR2
10377,CCDC158,CCDC158
10378,GYG1,GYG1
10379,HPS3,HPS3
10380,TM4SF18,TM4SF18
10381,TOPBP1,TOPBP1
10382,RYK,RYK
10383,SNRK,SNRK
10384,TCF23,TCF23
10385,DNAJC5G,DNAJC5G
10386,UCN,UCN
10387,ZNF513,ZNF513
10388,SLC4A1AP,SLC4A1AP
10389,PLB1,PLB1
10390,SPDYA,SPDYA
10391,KIAA1143,KIAA1143
10392,KIF15,KIF15
10393,TGM4,TGM4
10394,WDR43,WDR43
10395,ZDHHC3,ZDHHC3
10396,CDCP1,CDCP1
10397,SLC6A20,SLC6A20
10398,LZTFL1,LZTFL1
10399,FYCO1,FYCO1
10400,CCR1,CCR1
10401,LRRC2,LRRC2
10402,ELP6,ELP6
10403,FBXO40,FBXO40
10404,DTX3L,DTX3L
