,gene_symbol,alias
232,ETV7,ETV7
233,SPRTN,SPRTN
234,METTL13,METTL13
235,DYRK4,DYRK4
236,ZNF207,ZNF207
237,UQCRC1,UQCRC1
238,STARD3NL,STARD3NL
239,CD9,CD9
240,NCAPD2,NCAPD2
241,IFFO1,IFFO1
242,GIPR,GIPR
243,PHF7,PHF7
244,SEMA3G,SEMA3G
245,NISCH,NISCH
246,STAB1,STAB1
247,FUZ,FUZ
248,SLC6A13,SLC6A13
249,IDS,IDS
250,PRSS3,PRSS3
251,ZNF200,ZNF200
252,CD4,CD4
253,LRRC23,LRRC23
254,BTK,BTK
255,HFE,HFE
256,SCMH1,SCMH1
257,FYN,FYN
258,HIVEP2,HIVEP2
259,FMO1,FMO1
260,ELOA,ELOA
261,LYPLA2,LYPLA2
262,CLCN6,CLCN6
263,MRC2,MRC2
264,NME1-NME2,NME1-NME2
265,SLC6A7,SLC6A7
266,TSPAN9,TSPAN9
267,BTBD7,BTBD7
268,APBA3,APBA3
269,MKS1,MKS1
270,ABHD5,ABHD5
271,ANOS1,ANOS1
272,AKAP8L,AKAP8L
273,MBTD1,MBTD1
274,UTP18,UTP18
275,RNF216,RNF216
276,TTC19,TTC19
277,PTBP1,PTBP1
278,DPF1,DPF1
279,SYT7,SYT7
280,LARS2,LARS2
281,PIK3C2A,PIK3C2A
282,PLAUR,PLAUR
283,ANLN,ANLN
284,WIZ,WIZ
285,RABGAP1,RABGAP1
286,DCN,DCN
287,QPCTL,QPCTL
288,PPP5C,PPP5C
289,CEP68,CEP68
290,MAP4K3,MAP4K3
291,ZBTB32,ZBTB32
292,TYROBP,TYROBP
293,LDAF1,TMEM159
294,GABRA3,GABRA3
295,BRCA1,BRCA1
296,ERCC1,ERCC1
297,CD22,CD22
298,SEMA3B,SEMA3B
299,MBTPS2,MBTPS2
300,PRICKLE3,PRICKLE3
301,LTF,LTF
302,EXTL3,EXTL3
303,NR1H4,NR1H4
304,ELOVL5,ELOVL5
305,ALOX5,ALOX5
306,KDM5D,KDM5D
307,CALCOCO1,CALCOCO1
308,UBR7,UBR7
309,MAP4K5,MAP4K5
310,EHD3,EHD3
311,PSMC4,PSMC4
312,MAN2B2,MAN2B2
313,SLC7A14,SLC7A14
314,CLDN11,CLDN11
315,SLC25A39,SLC25A39
316,MVP,MVP
317,NUB1,NUB1
318,PGM3,PGM3
319,RWDD2A,RWDD2A
320,CLK1,CLK1
321,POLR3B,POLR3B
322,ANGEL1,ANGEL1
323,RNF14,RNF14
324,DNASE1L1,DNASE1L1
325,DDX11,DDX11
326,HEBP1,HEBP1
327,GPRC5A,GPRC5A
328,MAMLD1,MAMLD1
329,CD6,CD6
330,TACC3,TACC3
331,UFL1,UFL1
332,POLA2,POLA2
