,gene_symbol,gene_id
173,ACADL,ENSG00000115361.8
174,ACADM,ENSG00000117054.15
175,ACADS,ENSG00000122971.9
176,ACADSB,ENSG00000196177.13
177,ACADVL,ENSG00000072778.20
178,ACAN,ENSG00000157766.19
179,ACAP1,ENSG00000072818.12
180,ACAP2,ENSG00000114331.15
181,ACAP3,ENSG00000131584.19
182,ACAT1,ENSG00000075239.14
183,ACAT2,ENSG00000120437.9
184,ACBD3,ENSG00000182827.9
185,ACBD4,ENSG00000181513.15
186,ACBD5,ENSG00000107897.20
187,ACBD6,ENSG00000230124.8
188,ACBD7,ENSG00000176244.7
189,ACCS,ENSG00000110455.14
190,ACD,ENSG00000102977.17
191,ACE,ENSG00000159640.17
192,ACE2,ENSG00000130234.13
193,ACER1,ENSG00000167769.5
194,ACER2,ENSG00000177076.6
195,ACER3,ENSG00000078124.13
196,ACHE,ENSG00000087085.16
197,ACIN1,ENSG00000100813.15
198,ACKR1,ENSG00000213088.12
199,ACKR2,ENSG00000144648.16
200,ACKR3,ENSG00000144476.6
201,ACKR4,ENSG00000129048.7
202,ACLY,ENSG00000131473.17
203,ACMSD,ENSG00000153086.14
204,ACO1,ENSG00000122729.19
205,ACO2,ENSG00000100412.17
206,ACOD1,ENSG00000102794.10
207,ACOT1,ENSG00000184227.8
208,ACOT11,ENSG00000162390.18
209,ACOT13,ENSG00000112304.11
210,ACOT2,ENSG00000119673.15
211,ACOT4,ENSG00000177465.5
212,ACOT7,ENSG00000097021.20
213,ACOT8,ENSG00000101473.17
214,ACOT9,ENSG00000123130.17
215,ACOX1,ENSG00000161533.12
216,ACOX2,ENSG00000168306.13
217,ACOX3,ENSG00000087008.16
218,ACOXL,ENSG00000153093.20
219,ACP1,ENSG00000143727.16
220,ACP2,ENSG00000134575.13
221,ACP3,ENSG00000014257.16
222,ACP5,ENSG00000102575.13
223,ACP6,ENSG00000162836.12
224,ACP7,ENSG00000183760.11
225,ACR,ENSG00000100312.11
226,ACRBP,ENSG00000111644.8
227,ACSBG1,ENSG00000103740.10
228,ACSF2,ENSG00000167107.13
229,ACSF3,ENSG00000176715.17
230,ACSL1,ENSG00000151726.15
231,ACSL3,ENSG00000123983.15
232,ACSL4,ENSG00000068366.21
233,ACSL5,ENSG00000197142.11
234,ACSL6,ENSG00000164398.15
235,ACSM1,ENSG00000166743.10
236,ACSM2A,ENSG00000183747.12
237,ACSM2B,ENSG00000066813.14
238,ACSM3,ENSG00000005187.12
239,ACSM5,ENSG00000183549.10
240,ACSS1,ENSG00000154930.15
241,ACSS2,ENSG00000131069.20
242,ACSS3,ENSG00000111058.8
243,ACTA1,ENSG00000143632.15
244,ACTA2,ENSG00000107796.13
245,ACTB,ENSG00000075624.17
246,ACTBL2,ENSG00000169067.4
247,ACTG1,ENSG00000184009.13
248,ACTG2,ENSG00000163017.14
249,ACTL10,ENSG00000288649.2
250,ACTL6A,ENSG00000136518.17
251,ACTN1,ENSG00000072110.16
252,ACTN1-DT,ENSG00000259062
253,ACTN2,ENSG00000077522.15
254,ACTN3,ENSG00000248746.6
255,ACTN4,ENSG00000130402.13
256,ACTR10,ENSG00000131966.14
257,ACTR1A,ENSG00000138107.13
258,ACTR1B,ENSG00000115073.8
259,ACTR2,ENSG00000138071.14
260,ACTR3,ENSG00000115091.12
261,ACTR3B,ENSG00000133627.18
262,ACTR3C,ENSG00000106526.11
263,ACTR5,ENSG00000101442.10
264,ACTR6,ENSG00000075089.10
265,ACTR8,ENSG00000113812.14
266,ACTRT3,ENSG00000184378.3
267,ACVR1,ENSG00000115170.16
268,ACVR1B,ENSG00000135503.13
269,ACVR1C,ENSG00000123612.16
270,ACVR2A,ENSG00000121989.15
271,ACVR2B,ENSG00000114739.14
272,ACVR2B-AS1,ENSG00000229589.1
273,ACVRL1,ENSG00000139567.13
274,ACY1,ENSG00000243989.9
275,ACY3,ENSG00000132744.8
276,ACYP1,ENSG00000119640.9
277,ACYP2,ENSG00000170634.13
278,ADA,ENSG00000196839.13
279,ADA2,ENSG00000093072.18
280,ADAD2,ENSG00000140955.11
281,ADAL,ENSG00000168803.16
282,ADAM10,ENSG00000137845.15
283,ADAM11,ENSG00000073670.14
284,ADAM12,ENSG00000148848.15
285,ADAM15,ENSG00000143537.14
286,ADAM17,ENSG00000151694.14
287,ADAM19,ENSG00000135074.16
288,ADAM20,ENSG00000134007.5
289,ADAM22,ENSG00000008277.15
290,ADAM23,ENSG00000114948.13
291,ADAM28,ENSG00000042980.13
292,ADAM32,ENSG00000197140.15
293,ADAM33,ENSG00000149451.18
294,ADAM8,ENSG00000151651.16
295,ADAM9,ENSG00000168615.13
296,ADAMDEC1,ENSG00000134028.14
297,ADAMTS1,ENSG00000154734.16
298,ADAMTS10,ENSG00000142303.14
299,ADAMTS12,ENSG00000151388.11
300,ADAMTS13,ENSG00000160323.19
301,ADAMTS14,ENSG00000138316.11
302,ADAMTS15,ENSG00000166106.4
303,ADAMTS16,ENSG00000145536.15
304,ADAMTS17,ENSG00000140470.15
305,ADAMTS18,ENSG00000140873.16
306,ADAMTS19,ENSG00000145808.10
307,ADAMTS2,ENSG00000087116.16
308,ADAMTS3,ENSG00000156140.10
309,ADAMTS4,ENSG00000158859.10
310,ADAMTS5,ENSG00000154736.6
311,ADAMTS6,ENSG00000049192.15
312,ADAMTS7,ENSG00000136378.15
313,ADAMTS8,ENSG00000134917.10
314,ADAMTS9,ENSG00000163638.13
315,ADAMTS9-AS2,ENSG00000241684.6
316,ADAMTSL1,ENSG00000178031.18
317,ADAMTSL2,ENSG00000197859.11
318,ADAMTSL3,ENSG00000156218.13
319,ADAMTSL4,ENSG00000143382.16
320,ADAMTSL5,ENSG00000185761.11
321,ADAP1,ENSG00000105963.15
322,ADAP2,ENSG00000184060.11
323,ADAR,ENSG00000160710.18
324,ADARB1,ENSG00000197381.17
325,ADARB2,ENSG00000185736.16
326,ADARB2-AS1,ENSG00000205696.4
327,ADAT1,ENSG00000065457.11
328,ADAT2,ENSG00000189007.16
329,ADAT3,ENSG00000213638.6
330,ADCK1,ENSG00000063761.16
331,ADCK2,ENSG00000133597.11
332,ADCK5,ENSG00000173137.12
333,ADCY1,ENSG00000164742.16
334,ADCY10,ENSG00000143199.18
335,ADCY2,ENSG00000078295.17
336,ADCY3,ENSG00000138031.15
337,ADCY4,ENSG00000129467.14
338,ADCY5,ENSG00000173175.15
339,ADCY6,ENSG00000174233.12
340,ADCY7,ENSG00000121281.13
341,ADCY8,ENSG00000155897.10
342,ADCY9,ENSG00000162104.10
343,ADCYAP1,ENSG00000141433.13
344,ADD1,ENSG00000087274.18
345,ADD2,ENSG00000075340.23
346,ADD3,ENSG00000148700.15
347,ADGB,ENSG00000118492.18
348,ADGRA1,ENSG00000197177.16
349,ADGRA2,ENSG00000020181.18
350,ADGRA3,ENSG00000152990.14
351,ADGRB1,ENSG00000181790.11
352,ADGRB2,ENSG00000121753.13
353,ADGRB3,ENSG00000135298.15
354,ADGRD1,ENSG00000111452.13
355,ADGRE1,ENSG00000174837.15
356,ADGRE2,ENSG00000127507.18
357,ADGRE3,ENSG00000131355.15
358,ADGRE5,ENSG00000123146.20
359,ADGRF1,ENSG00000153292.16
360,ADGRF2,ENSG00000164393.9
361,ADGRF3,ENSG00000173567.15
362,ADGRF4,ENSG00000153294.12
363,ADGRF5,ENSG00000069122.19
364,ADGRG1,ENSG00000205336.14
365,ADGRG2,ENSG00000173698.18
366,ADGRG3,ENSG00000182885.17
367,ADGRG5,ENSG00000159618.16
368,ADGRG6,ENSG00000112414.15
369,ADGRL1,ENSG00000072071.16
370,ADGRL2,ENSG00000117114.20
371,ADGRL3,ENSG00000150471.17
372,ADGRL4,ENSG00000162618.15
373,ADGRV1,ENSG00000164199.18
374,ADH1B,ENSG00000196616.14
375,ADH1C,ENSG00000248144.6
376,ADH4,ENSG00000198099.9
377,ADH5,ENSG00000197894.12
378,ADH6,ENSG00000172955.17
379,ADH7,ENSG00000196344.12
380,ADHFE1,ENSG00000147576.17
381,ADI1,ENSG00000182551.14
382,ADIPOR1,ENSG00000159346.13
383,ADIPOR2,ENSG00000006831.10
384,ADIRF,ENSG00000148671.14
385,ADK,ENSG00000156110.15
386,ADM,ENSG00000148926.10
387,ADM2,ENSG00000128165.9
388,ADM5,ENSG00000224420.3
389,ADNP,ENSG00000101126.18
390,ADNP-AS1,ENSG00000259456.4
391,ADNP2,ENSG00000101544.9
392,ADO,ENSG00000181915.5
393,ADORA1,ENSG00000163485.17
394,ADORA2A,ENSG00000128271.22
395,ADORA2A-AS1,ENSG00000178803.12
396,ADORA2B,ENSG00000170425.4
397,ADORA3,ENSG00000282608.2
398,ADPGK,ENSG00000159322.18
399,ADPGK-AS1,ENSG00000260898.6
400,ADPRH,ENSG00000144843.11
401,ADPRHL1,ENSG00000153531.14
402,ADPRM,ENSG00000170222.12
403,ADPRS,ENSG00000116863.11
404,ADRA1D,ENSG00000171873.8
405,ADRA2A,ENSG00000150594.7
406,ADRA2B,ENSG00000274286.2
407,ADRA2C,ENSG00000184160.8
408,ADRB1,ENSG00000043591.6
409,ADRB2,ENSG00000169252.6
410,ADRB3,ENSG00000188778.6
411,ADRM1,ENSG00000130706.13
412,ADSL,ENSG00000239900.14
413,ADSS1,ENSG00000185100.11
414,ADSS2,ENSG00000035687.10
415,ADTRP,ENSG00000111863.13
416,AEBP1,ENSG00000106624.11
417,AEBP2,ENSG00000139154.16
418,AEN,ENSG00000181026.15
419,AFAP1,ENSG00000196526.11
420,AFAP1-AS1,ENSG00000272620.2
421,AFAP1L1,ENSG00000157510.14
422,AFAP1L2,ENSG00000169129.15
423,AFDN,ENSG00000130396.21
424,AFDN-DT,ENSG00000198221.10
425,AFF1,ENSG00000172493.23
426,AFF2,ENSG00000155966.14
427,AFF3,ENSG00000144218.21
428,AFF4,ENSG00000072364.13
429,AFG1L,ENSG00000135537.17
430,AFG3L2,ENSG00000141385.11
431,AFMID,ENSG00000183077.15
432,AFP,ENSG00000081051.8
433,AFTPH,ENSG00000119844.15
434,AGA,ENSG00000038002.9
435,AGAP1,ENSG00000157985.19
436,AGAP2,ENSG00000135439.12
437,AGAP2-AS1,ENSG00000255737.2
438,AGAP3,ENSG00000133612.19
439,AGAP4,ENSG00000188234.14
440,AGAP5,ENSG00000172650.15
441,AGAP6,ENSG00000204149.14
442,AGAP9,ENSG00000204172.12
443,AGBL1,ENSG00000273540.5
444,AGBL2,ENSG00000165923.16
445,AGBL3,ENSG00000146856.14
446,AGBL4,ENSG00000186094.17
447,AGBL5,ENSG00000084693.16
448,AGBL5-AS1,ENSG00000231636.1
449,AGER,ENSG00000204305.15
450,AGFG1,ENSG00000173744.18
451,AGFG2,ENSG00000106351.13
452,AGGF1,ENSG00000164252.13
453,AGK,ENSG00000006530.18
454,AGL,ENSG00000162688.17
455,AGMAT,ENSG00000116771.6
456,AGMO,ENSG00000187546.14
457,AGO1,ENSG00000092847.13
458,AGO2,ENSG00000123908.12
459,AGO3,ENSG00000126070.20
460,AGO4,ENSG00000134698.11
461,AGPAT1,ENSG00000204310.13
462,AGPAT2,ENSG00000169692.13
463,AGPAT3,ENSG00000160216.21
464,AGPAT4,ENSG00000026652.15
465,AGPAT5,ENSG00000155189.12
466,AGPS,ENSG00000018510.18
467,AGR2,ENSG00000106541.12
468,AGR3,ENSG00000173467.9
469,AGRN,ENSG00000188157.15
470,AGRP,ENSG00000159723.5
471,AGT,ENSG00000135744.9
472,AGTPBP1,ENSG00000135049.16
473,AGTR1,ENSG00000144891.19
474,AGTR2,ENSG00000180772.8
475,AGTRAP,ENSG00000177674.16
476,AHCTF1,ENSG00000153207.16
477,AHCY,ENSG00000101444.13
478,AHCYL1,ENSG00000168710.18
479,AHCYL2,ENSG00000158467.16
480,AHDC1,ENSG00000126705.15
481,AHI1,ENSG00000135541.22
482,AHNAK,ENSG00000124942.14
483,AHNAK2,ENSG00000185567.7
484,AHR,ENSG00000106546.14
485,AHRR,ENSG00000063438.20
486,AHSA1,ENSG00000100591.8
487,AHSP,ENSG00000169877.10
488,AICDA,ENSG00000111732.11
489,AIDA,ENSG00000186063.13
490,AIF1,ENSG00000204472.13
491,AIF1L,ENSG00000126878.13
492,AIFM1,ENSG00000156709.15
493,AIFM2,ENSG00000042286.15
494,AIFM3,ENSG00000183773.16
495,AIG1,ENSG00000146416.19
496,AIM2,ENSG00000163568.15
497,AIMP1,ENSG00000164022.18
498,AIMP2,ENSG00000106305.10
499,AIP,ENSG00000110711.11
500,AIPL1,ENSG00000129221.16
501,AIRE,ENSG00000160224.17
502,AIRN,ENSG00000268257.2
503,AJAP1,ENSG00000196581.11
504,AJM1,ENSG00000232434.2
505,AJUBA,ENSG00000129474.16
506,AK1,ENSG00000106992.19
507,AK2,ENSG00000004455.17
508,AK3,ENSG00000147853.17
509,AK4,ENSG00000162433.15
510,AK5,ENSG00000154027.19
511,AK6,ENSG00000085231.14
512,AK7,ENSG00000140057.9
513,AK8,ENSG00000165695.10
514,AK9,ENSG00000155085.16
515,AKAP1,ENSG00000121057.13
516,AKAP10,ENSG00000108599.15
517,AKAP11,ENSG00000023516.9
518,AKAP12,ENSG00000131016.17
519,AKAP13,ENSG00000170776.22
520,AKAP14,ENSG00000186471.13
521,AKAP17A,ENSG00000197976.12
522,AKAP17A,ENSG00000197976.12_PAR_Y
523,AKAP3,ENSG00000111254.8
524,AKAP5,ENSG00000179841.8
525,AKAP6,ENSG00000151320.11
526,AKAP7,ENSG00000118507.18
527,AKAP8,ENSG00000105127.10
528,AKAP8L,ENSG00000011243.19
529,AKAP9,ENSG00000127914.19
530,AKIP1,ENSG00000166452.12
531,AKIRIN1,ENSG00000174574.16
532,AKIRIN2,ENSG00000135334.9
533,AKNA,ENSG00000106948.17
534,AKNAD1,ENSG00000162641.20
535,AKR1A1,ENSG00000117448.14
536,AKR1B1,ENSG00000085662.14
537,AKR1B10,ENSG00000198074.10
538,AKR1B15,ENSG00000227471.9
539,AKR1C1,ENSG00000187134.14
540,AKR1C2,ENSG00000151632.17
541,AKR1C3,ENSG00000196139.14
542,AKR1C4,ENSG00000198610.11
543,AKR1D1,ENSG00000122787.15
544,AKR1E2,ENSG00000165568.18
545,AKR7A2,ENSG00000053371.13
546,AKR7A3,ENSG00000162482.5
547,AKT1,ENSG00000142208.18
548,AKT1S1,ENSG00000204673.11
549,AKT2,ENSG00000105221.18
550,AKT3,ENSG00000117020.19
551,AKTIP,ENSG00000166971.17
552,AL049794.1,
553,AL358852.1,
554,AL365181.2,
555,AL592183.1,
556,ALAD,ENSG00000148218.16
557,ALAS1,ENSG00000023330.15
558,ALAS2,ENSG00000158578.21
559,ALB,ENSG00000163631.17
560,ALCAM,ENSG00000170017.12
561,ALDH16A1,ENSG00000161618.10
562,ALDH18A1,ENSG00000059573.9
563,ALDH1A1,ENSG00000165092.13
564,ALDH1A2,ENSG00000128918.15
565,ALDH1A3,ENSG00000184254.17
566,ALDH1B1,ENSG00000137124.8
567,ALDH1L1,ENSG00000144908.14
568,ALDH1L2,ENSG00000136010.14
569,ALDH2,ENSG00000111275.13
570,ALDH3A1,ENSG00000108602.18
571,ALDH3A2,ENSG00000072210.19
572,ALDH3B1,ENSG00000006534.16
573,ALDH3B2,ENSG00000132746.15
574,ALDH4A1,ENSG00000159423.17
575,ALDH5A1,ENSG00000112294.14
576,ALDH6A1,ENSG00000119711.13
577,ALDH7A1,ENSG00000164904.18
578,ALDH8A1,ENSG00000118514.14
579,ALDH9A1,ENSG00000143149.12
580,ALDOA,ENSG00000149925.22
581,ALDOB,ENSG00000136872.20
582,ALDOC,ENSG00000109107.14
583,ALG1,ENSG00000033011.14
584,ALG10,ENSG00000139133.7
585,ALG10B,ENSG00000175548.9
586,ALG11,ENSG00000253710.5
587,ALG12,ENSG00000182858.14
588,ALG13,ENSG00000101901.12
589,ALG14,ENSG00000172339.10
590,ALG1L,ENSG00000189366.10
591,ALG1L2,ENSG00000251287.8
592,ALG2,ENSG00000119523.10
593,ALG3,ENSG00000214160.10
594,ALG5,ENSG00000120697.10
595,ALG6,ENSG00000088035.18
596,ALG8,ENSG00000159063.14
597,ALG9,ENSG00000086848.15
598,ALK,ENSG00000171094.18
599,ALKAL1,ENSG00000196711.9
600,ALKAL2,ENSG00000189292.16
601,ALKBH1,ENSG00000100601.10
602,ALKBH2,ENSG00000189046.11
603,ALKBH3,ENSG00000166199.13
604,ALKBH4,ENSG00000160993.4
605,ALKBH5,ENSG00000091542.9
606,ALKBH6,ENSG00000239382.10
607,ALKBH7,ENSG00000125652.8
608,ALKBH8,ENSG00000137760.15
609,ALMS1,ENSG00000116127.20
610,ALOX12,ENSG00000108839.12
611,ALOX12-AS1,ENSG00000215067.10
612,ALOX12B,ENSG00000179477.11
613,ALOX15,ENSG00000161905.13
614,ALOX15B,ENSG00000179593.16
615,ALOX5,ENSG00000012779.11
616,ALOX5AP,ENSG00000132965.10
617,ALOXE3,ENSG00000179148.10
618,ALPG,ENSG00000163286.9
619,ALPK1,ENSG00000073331.18
620,ALPK2,ENSG00000198796.7
621,ALPK3,ENSG00000136383.7
622,ALPL,ENSG00000162551.14
623,ALPP,ENSG00000163283.7
624,ALS2,ENSG00000003393.16
625,ALS2CL,ENSG00000178038.17
626,ALX1,ENSG00000180318.4
627,ALX3,ENSG00000156150.9
628,ALYREF,ENSG00000183684.8
629,AMACR,ENSG00000242110.8
630,AMBP,ENSG00000106927.12
631,AMBRA1,ENSG00000110497.15
632,AMD1,ENSG00000123505.19
633,AMDHD1,ENSG00000139344.8
634,AMDHD2,ENSG00000162066.16
635,AMER1,ENSG00000184675.11
636,AMER2,ENSG00000165566.13
637,AMFR,ENSG00000159461.15
638,AMH,ENSG00000104899.8
639,AMHR2,ENSG00000135409.11
640,AMIGO1,ENSG00000181754.7
641,AMIGO2,ENSG00000139211.7
642,AMMECR1,ENSG00000101935.11
643,AMMECR1L,ENSG00000144233.11
644,AMN,ENSG00000166126.11
645,AMN1,ENSG00000151743.11
646,AMOT,ENSG00000126016.17
647,AMOTL1,ENSG00000166025.18
648,AMOTL2,ENSG00000114019.15
649,AMPD1,ENSG00000116748.22
650,AMPD2,ENSG00000116337.20
651,AMPD3,ENSG00000133805.15
652,AMPH,ENSG00000078053.17
653,AMT,ENSG00000145020.16
654,AMTN,ENSG00000187689.10
655,AMY1A,ENSG00000237763.10
656,AMY2B,ENSG00000240038.7
657,AMZ1,ENSG00000174945.14
658,AMZ2,ENSG00000196704.14
659,ANAPC1,ENSG00000153107.13
660,ANAPC10,ENSG00000164162.14
661,ANAPC11,ENSG00000141552.18
662,ANAPC13,ENSG00000129055.13
663,ANAPC15,ENSG00000110200.8
664,ANAPC16,ENSG00000166295.9
665,ANAPC2,ENSG00000176248.9
666,ANAPC4,ENSG00000053900.11
667,ANAPC5,ENSG00000089053.13
668,ANAPC7,ENSG00000196510.14
669,ANG,ENSG00000214274.10
670,ANGEL1,ENSG00000013523.11
671,ANGEL2,ENSG00000174606.14
672,ANGPT1,ENSG00000154188.10
673,ANGPT2,ENSG00000091879.14
674,ANGPT4,ENSG00000101280.8
675,ANGPTL1,ENSG00000116194.13
676,ANGPTL2,ENSG00000136859.10
677,ANGPTL4,ENSG00000167772.12
678,ANGPTL5,ENSG00000187151.7
679,ANGPTL6,ENSG00000130812.11
680,ANGPTL7,ENSG00000171819.5
681,ANGPTL8,ENSG00000130173.13
682,ANK1,ENSG00000029534.21
683,ANK2,ENSG00000145362.21
684,ANK3,ENSG00000151150.22
685,ANKAR,ENSG00000151687.15
686,ANKDD1A,ENSG00000166839.17
687,ANKDD1B,ENSG00000189045.15
688,ANKEF1,ENSG00000132623.16
689,ANKFN1,ENSG00000153930.13
690,ANKFY1,ENSG00000185722.18
691,ANKH,ENSG00000154122.14
692,ANKHD1,ENSG00000131503.21
693,ANKIB1,ENSG00000001629.10
694,ANKK1,ENSG00000170209.5
695,ANKLE1,ENSG00000160117.16
696,ANKLE2,ENSG00000176915.15
697,ANKMY1,ENSG00000144504.15
698,ANKMY2,ENSG00000106524.9
699,ANKRA2,ENSG00000164331.10
700,ANKRD1,ENSG00000148677.7
701,ANKRD10,ENSG00000088448.14
702,ANKRD11,ENSG00000167522.16
703,ANKRD12,ENSG00000101745.17
704,ANKRD13A,ENSG00000076513.17
705,ANKRD13B,ENSG00000198720.13
706,ANKRD13C,ENSG00000118454.13
707,ANKRD13D,ENSG00000172932.16
708,ANKRD16,ENSG00000134461.16
709,ANKRD17,ENSG00000132466.19
710,ANKRD18A,ENSG00000180071.20
711,ANKRD18B,ENSG00000230453.9
712,ANKRD2,ENSG00000165887.12
713,ANKRD20A1,ENSG00000260691.7
714,ANKRD20A2P,ENSG00000183148.7
715,ANKRD20A3P,ENSG00000276203.5
716,ANKRD20A4-ANKRD20A20P,
717,ANKRD22,ENSG00000152766.6
718,ANKRD23,ENSG00000163126.15
719,ANKRD24,ENSG00000089847.12
720,ANKRD26,ENSG00000107890.17
721,ANKRD27,ENSG00000105186.16
722,ANKRD28,ENSG00000206560.12
723,ANKRD29,ENSG00000154065.17
724,ANKRD31,ENSG00000145700.10
725,ANKRD33B,ENSG00000164236.12
726,ANKRD34A,ENSG00000272031.3
727,ANKRD34B,ENSG00000189127.8
728,ANKRD35,ENSG00000198483.13
729,ANKRD36,ENSG00000135976.20
730,ANKRD36B,ENSG00000196912.12
731,ANKRD36C,ENSG00000174501.14
