Mixture,T cell CD8,Tumor cells,B cell,Plasma cell,T cell regulatory,Mast cell,T cell CD4,Macrophage,Alveolar cell type 2,NK cell,Monocyte,Neutrophils,cDC2,Macrophage alveolar,transitional club/AT2,Alveolar cell type 1,pDC,Ciliated,Endothelial cell,cDC1,Club,DC mature,Stromal,P-value,Correlation,RMSE,Absolute score (sig.score)
LUAD_TCGA-44-2656_T,4.05491561950067,2.44167075107624,2.04333835157138,3.31048794817083,1.19308617276103,0.228460281090561,3.24174790126148,4.87535557739702,1.20895106219657,0.0996412015338522,0.198467155449834,0.0736197423455921,5.44298966220716,5.0678450375734,6.11036959211098,1.39365130334041,1.79518934639432,0.418141597502366,2.46979499939912,0,0.0780181115971278,1.52406974390879,2.61586403553651,0,0.686144986894395,0.837950270082993,49.8856751939252
LUAD_TCGA-44-2657_N,1.03541604952402,0.125408298782821,7.46936487094637,1.6415388442277,4.10766502648694,1.57728773125885,1.96719515525747,0.609433383277598,22.4521218849833,3.10620646442313,1.94151854147951,0.449734117925975,5.90494829444088,10.9881381052675,0,3.93510557440062,1.52287438395979,1.10051926025822,4.9640287411475,2.25153830594762,2.14424214373519,1.00082063095944,2.28421047869268,0,0.882640534107694,0.507450355252689,82.5793162873832
LUAD_TCGA-44-2657_T,2.87633386009286,0.710276803803959,7.12180678573876,13.8566353632791,4.84320956113951,0.354932695653771,0.462452183281922,6.49245756601566,9.20262426756127,4.16788636180284,0.460343065740161,0.115737844612882,4.57074078365392,1.37238457679778,1.91498082374277,1.83168980166785,1.01543013683327,2.27402304239733,2.73658250195647,2.60391142647516,2.41802270161844,0.65110686096234,4.51788592208787,0,0.777842734088301,0.631265388125872,76.5714549369159
LUAD_TCGA-44-2659_T,1.78146340754871,0.138319368586318,2.32208179064302,4.82222636996374,1.72580919933885,1.06927116274951,1.44961093266675,2.11819581504218,2.12333820687029,1.79810425339614,0,0.15543644048398,2.46773198479549,2.18689782784989,9.18446259682143,2.00739763655019,1.89495142704698,1.0484969661916,3.11671303225326,0.699762878170083,0.471777645146167,1.15379132718468,5.24035558116802,0,0.741266806755646,0.753062539098803,48.9761958504673
LUAD_TCGA-44-2661_N,0.552120656386865,0,2.76423391614544,0.208178503339162,2.09686945595886,1.65233203148916,2.23933594498449,0.521985164673077,8.37964817413442,3.41651093504528,0.842245593312489,0.369605799207357,6.80593094398445,14.5073378386107,0,7.93474689280465,1.40514078761508,0.999938519724515,9.013913859609,1.60666643193459,1.16474402933487,1.0258844885744,8.84923830649567,0,0.896361361686473,0.749655023266767,76.3566082733645
LUAD_TCGA-44-2661_T,2.06812186321074,0.148484687844749,3.15221124075566,5.4824036657783,3.0808668862184,1.54078747021743,2.08358096698462,7.00938360013633,5.38691350782318,2.40169188789569,2.85473366850628,0.0802241984281927,6.12819481313914,2.78267254183569,7.82830293080634,0.921062653988168,1.03018492755841,1.24546029844378,1.96474802406003,1.91615801720094,2.54910039618867,0.499411999395733,3.93194121853681,0,0.946372574146654,0.638424269376679,66.0866414649533
LUAD_TCGA-44-2662_N,0,0.066586961038868,1.68610719522165,0.00381794652663685,1.78183622085403,2.48992743056429,4.31475122145629,0,25.0784681430761,3.89224817284269,2.93971939432699,1.3170617093363,7.33844475351452,9.73359106415607,0,6.5117064863705,1.72522809342199,1.14309846075004,8.44422361505572,0.484356614638922,0.896605837776404,0.810128037965843,5.54067924858281,0,0.896315876843532,0.472115096428352,86.1985866074766
LUAD_TCGA-44-2662_T,0,7.32293260469794,1.20868500990982,0.846185754952205,0.781618214797713,1.52562378730141,2.81865349261172,3.36600071894508,0,0.975047250643295,5.28960853731709,1.58259563167295,0.944370120048716,6.37837040475007,2.12389355068319,0.452876953699626,1.76958349543042,0.751898891805908,1.98855920982014,0,0.00688124809066757,1.64880006282651,5.87791781934133,0,0.678036386412485,0.912716187941549,47.6601027593458
LUAD_TCGA-44-2665_N,0,0.0429215473304621,2.3228724175619,0,1.69734142984421,1.36515202690549,4.10691307829952,0,20.9305702088905,2.9267636929392,1.98948879244788,0.26158724613907,5.27894089088575,18.8380412211749,0,5.7277197950236,1.77674642362214,0.944042071670117,9.17504255211548,1.03948473428883,1.90003923430823,0.507714475790496,5.32869885468745,0,0.925381811977761,0.488862763936455,86.1600806939252
LUAD_TCGA-44-2665_T,0,2.966274897049,0,0.171781688600801,1.86598923030898,0.9077766059435,4.59225797938067,7.61792622165552,0.0126891587479305,0.546341694164319,6.88090382908427,0.695955337121207,0,0,6.78240563987124,0.384219568111225,2.21781947408347,1.38524152338632,1.42683314015085,2.55569093367483,0.0852628996902667,1.37933301736674,16.7042740401135,0,0.647812883563301,0.912729891530514,59.1789768785047
LUAD_TCGA-44-2666_T,0,0.207946756533433,0.800627842061616,1.3007735736525,0.129626793493232,2.28322945456337,2.92827643786108,0,0.359444063287808,1.08512913728781,0.0958755972822832,0.029659672244042,1.77217937974627,1.36122975904894,21.4577058156449,0.930090704764867,2.15116106304433,0.854453467538423,3.59779194002053,0.0564204273923212,0.075924038920667,0.4315201397691,1.26066046621628,0,0.64329772474005,0.847261172109178,43.1697265303738
LUAD_TCGA-44-2668_N,0,0.352827002923839,2.12592047534494,0.318784548013687,1.79975723746138,2.12537827658219,3.58995854625141,0,23.7026088656812,3.32572684562693,4.74705346867657,0.784909586835828,5.42477397458805,20.596939669164,0,3.95745004077957,1.68119470815995,0.881778693002124,4.93143303837451,2.26270619902414,0.695369723939624,0.595103844324446,2.64405340945114,0,0.926802445427036,0.44257178109694,86.5437281542056
LUAD_TCGA-44-2668_T,1.07987958866962,5.11854619396692,0,0.72408263890562,2.4823475414416,0.543613656209149,2.12911174929873,0.903783356756096,0.0366786211447061,1.52151605584239,7.1077713510523,2.65321308640613,0,4.28479768051783,0.819137795984865,0.981915576567069,2.33512250704751,0.163432814875108,2.3548765099837,0,0.00959890580911037,3.77790441216935,6.0263145578195,0,0.775663198734777,0.894640918079782,45.0536446004673
LUAD_TCGA-44-3396_N,0.562987696314027,0,2.44953434510719,0.342033569999972,1.21880277744677,1.6890191607202,4.5509772740786,0,13.360826784984,2.52718788222297,2.61259375392608,0.483875011102006,4.26662533412336,18.2325830073034,0,5.39689166210978,1.52891552443547,1.62926252772718,8.95172849610517,1.68111129258573,3.48961481707239,0.79199370276107,4.39145148735122,0,0.907250775390688,0.633717521605589,80.1580161074766
