Run,cell_type
SRR10784531,Pericyte
SRR10788349,DC mature
SRR10793849,cDC2
SRR10786154,Macrophage
SRR10780643,Club
SRR10798087,Macrophage
SRR10782299,B cell
SRR10778599,Basal
SRR10782733,T cell CD4
SRR10797765,T cell CD8
SRR10790787,T cell CD8
SRR10794295,T cell CD4
SRR10788328,T cell dividing
SRR10798558,Epithelial cell other C4
SRR10786795,Macrophage
SRR10780583,Endothelial cell
SRR10798238,Fibroblast adventitial
SRR10796784,Macrophage
SRR10792652,Alveolar cell type 1
SRR10791230,T cell dividing
SRR10797604,Fibroblast adventitial
SRR10785098,Club
SRR10779887,Monocyte conventional
SRR10789414,Macrophage
SRR10798351,Mast cell
SRR10785755,Fibroblast adventitial
SRR10779495,Smooth muscle cell
SRR10777344,Macrophage
SRR10791596,Epithelial cell other C1
SRR10779400,Macrophage
SRR10779897,T cell dividing
SRR10792425,Alveolar cell type 2
SRR10789156,B cell
SRR10779487,pDC
SRR10787804,T cell CD8
SRR10795741,Monocyte non-conventional
SRR10798578,Epithelial cell other C1
SRR10797049,Fibroblast alveolar
SRR10779610,Monocyte conventional
SRR10780960,NK cell
SRR10782172,Fibroblast adventitial
SRR10792860,Club
SRR10796070,Basal
SRR10795579,Macrophage
SRR10794487,Macrophage
SRR10789990,T cell CD4
SRR10789080,pDC
SRR10798576,Macrophage
SRR10784814,Epithelial cell other C2
SRR10798563,Macrophage
SRR10780726,pDC
SRR10796653,Epithelial cell other C5
SRR10797513,Macrophage
SRR10790915,Epithelial cell other C4
SRR10781154,cDC1
SRR10780716,cDC2
SRR10779592,Macrophage
SRR10788978,Monocyte non-conventional
SRR10789353,T cell regulatory
SRR10795116,cDC2
SRR10785034,Monocyte non-conventional
SRR10797340,Macrophage
SRR10777714,Plasma cell
SRR10789189,Mast cell
SRR10777711,Macrophage
SRR10792571,Epithelial cell other C1
SRR10795110,cDC2
SRR10792374,Mast cell
SRR10779500,Endothelial cell
SRR10798612,Fibroblast alveolar
SRR10783733,Fibroblast adventitial
SRR10795550,Macrophage
SRR10780713,Epithelial cell other C1
SRR10779104,Monocyte conventional
SRR10787769,T cell CD4
SRR10797075,Basal
SRR10787215,Endothelial cell
SRR10796144,cDC2
SRR10784712,T cell CD4
SRR10782187,T cell CD4
SRR10797543,Club
SRR10780689,Monocyte non-conventional
SRR10784760,Plasma cell
SRR10783436,Macrophage
SRR10786458,T cell regulatory
SRR10791352,T cell CD4
SRR10777596,Endothelial cell
SRR10789861,Plasma cell
SRR10789798,other C19
SRR10780648,Macrophage
SRR10783660,B cell
SRR10793427,other C32
SRR10782304,Fibroblast adventitial
SRR10784939,Macrophage
SRR10778954,T cell CD8
SRR10794135,Endothelial cell
SRR10798122,B cell
SRR10792721,other C17
SRR10793883,Pericyte
SRR10790896,Endothelial cell
SRR10782948,B cell
SRR10780907,T cell CD8
SRR10778381,pDC
SRR10797735,Monocyte non-conventional
SRR10791251,Monocyte conventional
SRR10797830,T cell CD4
SRR10781448,pDC
SRR10783734,Macrophage
SRR10798044,Basal
SRR10778285,pDC
SRR10786576,Macrophage
SRR10792880,Epithelial cell other C5
SRR10786298,Fibroblast alveolar
SRR10780562,Mast cell
SRR10782101,NK cell
SRR10797206,other C17
SRR10789660,Club
SRR10793824,T cell CD8
SRR10784800,T cell CD8
SRR10781033,Monocyte conventional
SRR10786868,Endothelial cell
SRR10786721,Alveolar cell type 2
SRR10792602,cDC2
SRR10782142,NK cell
SRR10777282,T cell CD4
SRR10798341,Fibroblast adventitial
SRR10780309,Endothelial cell
SRR10778815,Endothelial cell
SRR10778057,Epithelial cell other C5
SRR10790942,T cell CD4
SRR10778733,Endothelial cell
SRR10793120,T cell regulatory
SRR10781844,Epithelial cell other C5
SRR10791651,Smooth muscle cell
SRR10785015,Macrophage
SRR10778894,cDC2
SRR10784093,Basal
SRR10793186,Epithelial cell other C1
SRR10791459,Epithelial cell other C1
SRR10796239,Fibroblast adventitial
SRR10777866,Fibroblast adventitial
SRR10782144,Club
SRR10784516,pDC
SRR10789013,other C17
SRR10782988,Endothelial cell
SRR10796905,Macrophage
SRR10793064,T cell CD4
SRR10787576,T cell CD4
SRR10780827,T cell CD8
SRR10796775,Macrophage
SRR10786563,T cell CD8
SRR10778472,Macrophage
SRR10780027,Macrophage
SRR10782577,other C17
SRR10793234,T cell CD4
SRR10780568,Plasma cell
SRR10795039,Epithelial cell other C1
SRR10798480,Club
SRR10779594,T cell CD8
SRR10782782,Epithelial cell other C1
SRR10780306,Epithelial cell other C5
SRR10778838,Alveolar cell type 1
SRR10798348,Epithelial cell other C4
SRR10795629,T cell regulatory
SRR10792510,T cell dividing
SRR10789947,Alveolar cell type 1
SRR10785691,Endothelial cell
SRR10780984,Fibroblast adventitial
SRR10787527,Macrophage
SRR10796950,T cell regulatory
SRR10788854,Macrophage
SRR10782931,Endothelial cell
SRR10777578,Macrophage
SRR10777354,Macrophage
SRR10792154,Endothelial cell
SRR10778110,Basal
SRR10795811,T cell CD8
SRR10785557,pDC
SRR10783087,B cell
SRR10789383,Macrophage
SRR10781953,B cell
SRR10785219,Mesothelial
SRR10788581,T cell CD8
SRR10795334,cDC2
SRR10797964,Pericyte
SRR10787420,Fibroblast adventitial
SRR10790866,B cell
SRR10788511,T cell dividing
SRR10786808,Endothelial cell
SRR10796744,Epithelial cell other C1
SRR10787132,Club
SRR10795019,Epithelial cell other C5
SRR10787167,other C19
SRR10790081,Mast cell
SRR10781928,T cell CD4
SRR10794426,Monocyte non-conventional
SRR10793231,Epithelial cell other C1
SRR10777840,Macrophage
SRR10780990,cDC2
SRR10793838,Endothelial cell
SRR10782723,Mast cell
SRR10787967,Mast cell
SRR10780077,T cell regulatory
SRR10795179,Plasma cell
SRR10794325,Monocyte conventional
SRR10798321,Plasma cell
SRR10778273,B cell
SRR10792007,B cell
SRR10782150,Monocyte non-conventional
SRR10785008,Basal
SRR10786693,Macrophage
SRR10794778,Macrophage
SRR10778506,Endothelial cell
SRR10786610,Monocyte non-conventional
SRR10780477,Mast cell
SRR10795630,T cell CD4
SRR10779778,Epithelial cell other C5
SRR10792490,NK cell
SRR10779827,Alveolar cell type 2
SRR10787604,other C17
SRR10794093,T cell CD8
SRR10777836,Fibroblast adventitial
SRR10780252,Fibroblast adventitial
SRR10782874,pDC
SRR10795375,Basal
SRR10781866,B cell
SRR10794060,Macrophage
SRR10789017,T cell CD8
SRR10780100,Endothelial cell
SRR10783083,Smooth muscle cell
SRR10790223,Ciliated
SRR10782627,Fibroblast adventitial
SRR10787688,Fibroblast adventitial
SRR10797226,Monocyte conventional
SRR10795812,T cell CD8
SRR10788265,Club
SRR10789717,other C19
SRR10786195,NK cell
SRR10788713,T cell CD8
SRR10782550,T cell regulatory
SRR10786020,other C21
SRR10793878,cDC2
SRR10784768,T cell dividing
SRR10787537,pDC
SRR10787982,Basal
SRR10786379,T cell CD8
SRR10792101,T cell CD4
SRR10798501,Basal
SRR10785615,Epithelial cell other C1
SRR10797280,Fibroblast adventitial
SRR10780909,Macrophage
SRR10789072,T cell CD8
SRR10789983,Smooth muscle cell
SRR10788520,T cell CD4
SRR10791975,Epithelial cell other C5
SRR10794231,Plasma cell
SRR10786481,Monocyte non-conventional
SRR10784492,Macrophage
SRR10779707,T cell CD8
SRR10785172,Fibroblast adventitial
SRR10785883,T cell CD8
SRR10778048,Fibroblast adventitial
SRR10787492,Endothelial cell
SRR10789824,Basal
SRR10792069,Basal
SRR10797106,B cell
SRR10784490,Club
SRR10793562,T cell regulatory
SRR10788776,Endothelial cell
SRR10788017,T cell CD8
SRR10784741,Epithelial cell other C4
SRR10796690,Epithelial cell other C2
SRR10787459,Club
SRR10790388,T cell regulatory
SRR10796468,T cell dividing
SRR10777564,T cell CD4
SRR10787700,Macrophage
SRR10783924,Macrophage
SRR10795325,Smooth muscle cell
SRR10788556,Macrophage
SRR10783920,Basal
SRR10779873,T cell dividing
SRR10779611,Mast cell
SRR10780954,NK cell
SRR10786631,T cell regulatory
SRR10795290,NK cell
SRR10787501,Epithelial cell other C1
SRR10781614,Endothelial cell
SRR10788473,T cell CD8
SRR10796443,Plasma cell
SRR10783741,Alveolar cell type 1
SRR10797651,Mast cell
SRR10780623,Endothelial cell
SRR10788613,T cell CD8
SRR10788988,Monocyte non-conventional
SRR10784053,T cell CD4
SRR10784917,Basal
SRR10780458,Macrophage
SRR10787260,Mast cell
SRR10783878,Monocyte conventional
SRR10795090,Epithelial cell other C1
SRR10787017,Macrophage
SRR10784890,Endothelial cell
SRR10784988,T cell CD8
SRR10778391,Endothelial cell
SRR10795196,Fibroblast adventitial
SRR10781933,Endothelial cell
SRR10792009,Fibroblast adventitial
SRR10793465,T cell CD8
SRR10784592,T cell CD8
SRR10788850,T cell CD4
SRR10796446,Fibroblast alveolar
SRR10794359,Plasma cell
SRR10793677,B cell
SRR10794907,Club
SRR10785753,B cell
SRR10782900,Endothelial cell
SRR10789905,Pericyte
SRR10795354,Monocyte conventional
SRR10792768,Smooth muscle cell
SRR10790012,T cell dividing
SRR10779260,T cell CD8
SRR10784445,cDC2
SRR10782722,T cell CD8
SRR10798233,Macrophage
SRR10787554,Fibroblast adventitial
SRR10790340,Basal
SRR10779343,cDC2
SRR10781123,Monocyte non-conventional
SRR10792219,Alveolar cell type 2
SRR10794800,Ciliated
SRR10793741,Alveolar cell type 1
SRR10782434,Macrophage
SRR10779277,Macrophage
SRR10792301,Macrophage
SRR10783742,Fibroblast alveolar
SRR10787618,T cell CD4
SRR10777380,T cell regulatory
SRR10792870,Macrophage
SRR10779396,Monocyte non-conventional
SRR10780589,Fibroblast adventitial
SRR10780540,Plasma cell
SRR10793891,B cell
SRR10784348,Pericyte
SRR10779761,Plasma cell
SRR10784573,Macrophage
SRR10787775,T cell regulatory
SRR10792981,T cell dividing
SRR10791764,Plasma cell
SRR10796831,T cell CD8
SRR10777396,Basal
SRR10780973,Macrophage
SRR10786553,Monocyte non-conventional
SRR10790887,Epithelial cell other C5
SRR10779034,Macrophage
SRR10778485,T cell dividing
SRR10780780,T cell CD4
SRR10797310,Mesothelial
SRR10790772,Club
SRR10778074,Fibroblast adventitial
SRR10793690,Ciliated
SRR10793661,Epithelial cell other C5
SRR10781511,Mast cell
SRR10788968,Fibroblast adventitial
SRR10783434,Macrophage
SRR10780281,Alveolar cell type 2
SRR10782660,T cell regulatory
SRR10790804,Monocyte non-conventional
SRR10791321,Basal
SRR10786109,Macrophage
SRR10790987,Macrophage
SRR10778859,T cell CD4
SRR10778617,Macrophage
SRR10781695,cDC1
SRR10787996,Macrophage
SRR10785229,Fibroblast alveolar
SRR10795216,Epithelial cell other C3
SRR10783394,T cell regulatory
SRR10778576,Macrophage
SRR10778855,Fibroblast adventitial
SRR10781829,Macrophage
SRR10789684,T cell CD4
SRR10781510,Macrophage
SRR10777887,Plasma cell
SRR10797493,T cell CD8
SRR10778980,Monocyte non-conventional
SRR10794876,Basal
SRR10795717,T cell CD4
SRR10789375,T cell CD4
SRR10792144,pDC
SRR10791420,Fibroblast alveolar
SRR10785812,B cell
SRR10777951,T cell CD4
SRR10790550,T cell dividing
SRR10784321,Club
SRR10782411,T cell CD4
SRR10778691,Fibroblast adventitial
SRR10797394,Macrophage
SRR10783528,T cell CD4
SRR10796893,B cell
SRR10783584,T cell CD8
SRR10784790,Macrophage
SRR10782067,Macrophage
SRR10784665,Basal
SRR10789733,T cell CD4
SRR10780642,Basal
SRR10797487,Monocyte conventional
SRR10796533,T cell CD4
SRR10786555,Monocyte conventional
SRR10794591,Monocyte conventional
SRR10782443,Fibroblast alveolar
SRR10784977,Plasma cell
SRR10797055,Endothelial cell
SRR10787071,Macrophage
SRR10797267,T cell CD4
SRR10781599,Plasma cell
SRR10795268,Fibroblast alveolar
SRR10782348,Macrophage
SRR10786668,B cell
SRR10792272,Pericyte
SRR10785533,T cell CD4
SRR10794894,Epithelial cell other C1
SRR10790679,Alveolar cell type 2
SRR10790602,T cell CD4
SRR10787354,Basal
SRR10797210,cDC2
SRR10780146,T cell CD8
SRR10783004,Basal
SRR10781574,T cell CD8
SRR10777638,Fibroblast adventitial
SRR10779152,Macrophage
SRR10779273,Fibroblast adventitial
SRR10797866,Epithelial cell other C1
SRR10777595,B cell
SRR10787655,Fibroblast alveolar
SRR10784498,Pericyte
SRR10778719,T cell CD8
SRR10796998,Mast cell
SRR10780408,Macrophage
SRR10791505,B cell
SRR10789902,Epithelial cell other C5
SRR10780822,Epithelial cell other C1
SRR10786520,T cell CD8
SRR10786012,Macrophage
SRR10796543,Monocyte non-conventional
SRR10791565,T cell CD4
SRR10783359,T cell CD8
SRR10787451,B cell
SRR10793416,T cell CD4
SRR10778831,Macrophage
SRR10793467,B cell
SRR10795649,other C21
SRR10792479,Macrophage
SRR10796328,Basal
SRR10793737,Alveolar cell type 2
SRR10787205,B cell
SRR10788757,Basal
SRR10793377,Fibroblast adventitial
SRR10798508,Macrophage
SRR10781767,Monocyte non-conventional
SRR10783934,Endothelial cell
SRR10793947,Macrophage
SRR10783140,Plasma cell
SRR10798469,Fibroblast adventitial
SRR10794019,Macrophage
SRR10785675,Epithelial cell other C2
SRR10797820,Macrophage
SRR10784505,Mast cell
SRR10787839,Smooth muscle cell
SRR10788810,T cell CD4
SRR10782582,B cell
SRR10791190,Monocyte conventional
SRR10789462,Pericyte
SRR10793550,T cell CD4
SRR10780524,Macrophage
SRR10787561,Club
SRR10789561,Fibroblast adventitial
SRR10780411,other C17
SRR10780962,Monocyte conventional
SRR10784087,Basal
SRR10798325,other C17
SRR10795718,NK cell
SRR10792845,Macrophage
SRR10781023,T cell CD8
SRR10789472,Fibroblast adventitial
SRR10795032,T cell dividing
SRR10782445,Monocyte non-conventional
SRR10779468,T cell CD4
SRR10777534,other C17
SRR10778644,Fibroblast adventitial
SRR10786286,Plasma cell
SRR10780323,T cell CD8
SRR10789330,Macrophage
SRR10788960,Endothelial cell
SRR10795572,B cell
SRR10795865,Macrophage
SRR10797405,other C21
SRR10788590,T cell CD4
SRR10796973,Alveolar cell type 1
SRR10795789,Club
SRR10795937,Plasma cell
SRR10790840,Fibroblast adventitial
SRR10794051,Monocyte non-conventional
SRR10790547,Pericyte
SRR10793152,Monocyte non-conventional
SRR10780284,pDC
SRR10779665,Macrophage
SRR10796931,Endothelial cell
SRR10780569,Alveolar cell type 2
SRR10785502,Fibroblast adventitial
SRR10793908,Monocyte non-conventional
SRR10785896,T cell CD4
SRR10777875,T cell CD8
SRR10786301,Fibroblast adventitial
SRR10795507,B cell
SRR10795434,T cell CD8
SRR10789589,other C19
SRR10789245,B cell
SRR10787391,Endothelial cell
SRR10789665,T cell CD4
SRR10787086,Epithelial cell other C5
SRR10792390,B cell
SRR10784574,other C17
SRR10795310,Epithelial cell other C1
SRR10788329,Epithelial cell other C5
SRR10782634,T cell CD4
SRR10778242,Macrophage
SRR10778117,Fibroblast adventitial
SRR10793074,Fibroblast adventitial
SRR10779560,T cell CD8
SRR10796182,Fibroblast adventitial
SRR10786759,T cell CD8
SRR10786612,Epithelial cell other C5
SRR10778053,Macrophage
SRR10794203,T cell CD8
SRR10791627,Plasma cell
SRR10787696,T cell CD4
SRR10782079,Epithelial cell other C5
SRR10791485,T cell CD8
SRR10781059,Mesothelial
SRR10787900,T cell CD8
SRR10784724,T cell CD4
SRR10795782,Monocyte non-conventional
SRR10794222,Monocyte non-conventional
SRR10778771,T cell CD4
SRR10779438,Endothelial cell
SRR10783559,Macrophage
SRR10797173,Macrophage
SRR10779534,DC mature
SRR10784044,DC mature
SRR10778050,Monocyte non-conventional
SRR10793763,Basal
SRR10785335,T cell CD8
SRR10782220,Alveolar cell type 1
SRR10777954,Macrophage
SRR10797464,Endothelial cell
SRR10782450,Fibroblast adventitial
SRR10783208,T cell CD8
SRR10779467,T cell CD8
SRR10788719,Fibroblast adventitial
SRR10794977,T cell CD8
SRR10796650,Alveolar cell type 2
SRR10792423,T cell CD4
SRR10778000,T cell CD4
SRR10780573,T cell CD8
SRR10791659,other C21
SRR10783042,Fibroblast alveolar
SRR10782013,Basal
SRR10780896,Monocyte conventional
SRR10779447,Fibroblast adventitial
SRR10798063,T cell regulatory
SRR10779293,Fibroblast adventitial
SRR10784803,Mast cell
SRR10795947,Pericyte
SRR10794282,cDC2
SRR10796094,Macrophage
SRR10791656,Macrophage
SRR10780320,T cell regulatory
SRR10778557,Macrophage
SRR10790332,B cell
SRR10789860,T cell CD8
SRR10782086,T cell CD4
SRR10780498,T cell CD4
SRR10787771,B cell
SRR10796486,Epithelial cell other C5
SRR10786810,Plasma cell
SRR10791054,T cell CD8
SRR10792412,Monocyte non-conventional
SRR10797073,Basal
SRR10778508,Epithelial cell other C5
SRR10782010,B cell
SRR10780047,Epithelial cell other C3
SRR10796648,Epithelial cell other C1
SRR10791542,Macrophage
SRR10786676,Monocyte conventional
SRR10784894,Monocyte non-conventional
SRR10781731,Endothelial cell
SRR10796575,Basal
SRR10786261,T cell CD8
SRR10784397,T cell CD8
SRR10792379,Endothelial cell
SRR10784646,Endothelial cell
SRR10779948,NK cell
SRR10793980,Macrophage
SRR10780574,T cell CD4
SRR10778486,Macrophage
SRR10789458,Epithelial cell other C5
SRR10779156,Epithelial cell other C4
SRR10788945,Monocyte non-conventional
SRR10785699,T cell regulatory
SRR10783586,Fibroblast alveolar
SRR10780798,B cell
SRR10794848,Macrophage
SRR10783958,Fibroblast alveolar
SRR10789708,Basal
SRR10791439,Monocyte non-conventional
SRR10781938,Macrophage
SRR10792634,T cell dividing
SRR10785663,B cell
SRR10789365,other C21
SRR10788239,other C21
SRR10777609,cDC2
SRR10787170,Mast cell
SRR10786214,other C19
SRR10777332,Macrophage
SRR10796401,Fibroblast adventitial
SRR10778948,Fibroblast adventitial
SRR10792099,T cell CD4
SRR10792925,Fibroblast adventitial
SRR10793751,Fibroblast adventitial
SRR10796040,T cell CD8
SRR10786404,T cell CD8
SRR10797281,Alveolar cell type 2
SRR10785552,Endothelial cell
SRR10781436,Endothelial cell
SRR10780818,Endothelial cell
SRR10789119,Basal
SRR10785806,Macrophage
SRR10779328,cDC2
SRR10783469,T cell CD8
SRR10789815,other C19
SRR10789390,Macrophage
SRR10795929,Macrophage
SRR10795212,Basal
SRR10786985,T cell CD8
SRR10796504,T cell CD4
SRR10784052,Fibroblast adventitial
SRR10779587,B cell
SRR10795931,Macrophage
SRR10788395,Fibroblast adventitial
SRR10792898,other C29
SRR10777932,Club
SRR10781400,Macrophage
SRR10791259,T cell CD8
SRR10798023,B cell
SRR10795527,Basal
SRR10788419,T cell regulatory
SRR10797274,Macrophage
SRR10795613,T cell CD8
SRR10778629,Macrophage
SRR10790529,Club
SRR10795333,NK cell
SRR10794669,T cell CD8
SRR10794197,Macrophage
SRR10784400,other C19
SRR10790949,Epithelial cell other C1
SRR10783703,Macrophage
SRR10786898,Basal
SRR10783421,Fibroblast alveolar
SRR10787814,Epithelial cell other C1
SRR10781438,other C17
SRR10778138,pDC
SRR10798548,Endothelial cell
SRR10793459,Plasma cell
SRR10791444,Macrophage
SRR10788732,Epithelial cell other C1
SRR10788325,Epithelial cell other C4
SRR10795984,Epithelial cell other C2
SRR10797443,Epithelial cell other C1
SRR10788179,Monocyte non-conventional
SRR10795415,pDC
SRR10784150,Epithelial cell other C5
SRR10797490,T cell CD4
SRR10779623,Mesothelial
SRR10781429,T cell CD8
SRR10784549,Basal
SRR10794053,Basal
SRR10797011,Monocyte non-conventional
SRR10794929,Alveolar cell type 2
SRR10777708,T cell CD4
SRR10787359,Epithelial cell dividing
SRR10793134,B cell
SRR10788336,Fibroblast adventitial
SRR10785670,pDC
SRR10779162,B cell
SRR10787624,Epithelial cell other C5
SRR10787470,Monocyte conventional
SRR10790898,Club
SRR10798484,Macrophage
SRR10778198,T cell CD8
SRR10798440,T cell CD8
SRR10781094,Macrophage
SRR10782500,Plasma cell
SRR10789680,B cell
SRR10797992,Fibroblast alveolar
SRR10798134,Plasma cell
SRR10785298,Basal
SRR10788425,Endothelial cell
SRR10780813,Macrophage
SRR10778416,cDC1
SRR10796607,Macrophage
SRR10782834,Epithelial cell other C1
SRR10778115,Monocyte non-conventional
SRR10788147,T cell CD8
SRR10778846,Monocyte conventional
SRR10796737,Epithelial cell other C5
SRR10790803,Macrophage
SRR10790268,Macrophage
SRR10778277,Fibroblast alveolar
SRR10784485,Epithelial cell other C1
SRR10794939,Monocyte non-conventional
SRR10784584,Endothelial cell
SRR10783862,Macrophage
SRR10795289,Basal
SRR10787476,Basal
SRR10780423,Epithelial cell other C1
SRR10779627,other C17
SRR10780055,Club
SRR10784635,T cell CD8
SRR10789359,Epithelial cell other C1
SRR10794524,Macrophage
SRR10785454,Epithelial cell other C5
SRR10783686,Macrophage
SRR10798476,cDC2
SRR10781399,Epithelial cell other C4
SRR10788739,T cell CD4
SRR10791676,Smooth muscle cell
SRR10797919,other C19
SRR10796195,T cell CD4
SRR10785492,Alveolar cell type 1
SRR10787983,pDC
SRR10796381,T cell CD4
SRR10787147,cDC1
SRR10777872,Smooth muscle cell
SRR10783875,NK cell
SRR10777391,other C19
SRR10795825,Macrophage
SRR10793695,Monocyte non-conventional
SRR10782591,Macrophage
SRR10778793,Ciliated
SRR10777980,cDC2
SRR10778553,Macrophage
SRR10781334,Epithelial cell other C1
SRR10783345,T cell CD4
SRR10781147,B cell
SRR10793342,B cell
SRR10779924,Fibroblast adventitial
SRR10779979,Monocyte non-conventional
SRR10795052,Endothelial cell
SRR10782017,DC mature
SRR10791979,T cell CD4
SRR10792253,Fibroblast alveolar
SRR10797090,Fibroblast adventitial
SRR10782072,Smooth muscle cell
SRR10795923,Macrophage
SRR10795793,Macrophage
SRR10794499,Epithelial cell other C1
SRR10788172,Macrophage
SRR10779980,T cell CD8
SRR10778199,T cell CD8
SRR10794803,NK cell
SRR10780134,Fibroblast adventitial
SRR10784103,cDC2
SRR10798108,Epithelial cell other C5
SRR10798247,B cell
SRR10787103,Mesothelial
SRR10789031,Fibroblast alveolar
SRR10793159,Macrophage
SRR10778109,Alveolar cell type 1
SRR10797128,T cell CD8
SRR10796002,other C19
SRR10788030,Alveolar cell type 2
SRR10791825,B cell
SRR10783210,Plasma cell
SRR10783833,Macrophage
SRR10785911,Basal
SRR10788098,T cell regulatory
SRR10785802,Endothelial cell
SRR10787516,B cell
SRR10795604,Pericyte
SRR10794544,Fibroblast adventitial
SRR10798302,Plasma cell
SRR10782174,Ciliated
SRR10788976,Mast cell
SRR10778148,Monocyte conventional
SRR10782959,Monocyte non-conventional
SRR10787418,Monocyte non-conventional
SRR10798076,Fibroblast adventitial
SRR10786339,Fibroblast alveolar
SRR10780173,T cell CD4
SRR10797273,Macrophage
SRR10794830,B cell
SRR10781045,T cell CD4
SRR10778328,Plasma cell
SRR10797581,Monocyte conventional
SRR10783678,NK cell
SRR10783535,Alveolar cell type 2
SRR10790206,Plasma cell
SRR10784385,Epithelial cell other C1
SRR10777642,Macrophage
SRR10784293,Ciliated
SRR10786484,Basal
SRR10781378,Alveolar cell type 1
SRR10797276,Epithelial cell other C5
SRR10791373,Macrophage
SRR10784720,T cell CD4
SRR10790681,Alveolar cell type 1
SRR10796034,Fibroblast adventitial
SRR10795513,other C29
SRR10791535,Macrophage
SRR10784942,Epithelial cell other C1
SRR10785398,NK cell
SRR10782659,Fibroblast adventitial
SRR10782797,Macrophage
SRR10783091,pDC
SRR10785306,Macrophage
SRR10789239,Alveolar cell type 1
SRR10783596,cDC2
SRR10791885,Macrophage
SRR10779132,Fibroblast adventitial
SRR10789495,B cell
SRR10798273,T cell CD4
SRR10792658,Endothelial cell
SRR10789886,Macrophage
SRR10793033,Epithelial cell other C5
SRR10780028,Macrophage
SRR10788823,Club
SRR10784602,Epithelial cell other C5
SRR10790980,T cell CD8
SRR10789172,Monocyte non-conventional
SRR10788659,T cell CD4
SRR10789653,Macrophage
SRR10782280,T cell CD8
SRR10792382,pDC
SRR10785876,Monocyte conventional
SRR10791993,Fibroblast adventitial
SRR10782462,Monocyte conventional
SRR10777797,cDC2
SRR10777978,Basal
SRR10792466,Monocyte non-conventional
SRR10794783,Epithelial cell other C1
SRR10779167,T cell CD8
SRR10791417,Epithelial cell other C4
SRR10797459,T cell CD8
SRR10779272,Alveolar cell type 2
SRR10778851,T cell dividing
SRR10781874,Epithelial cell other C4
SRR10795783,Epithelial cell other C4
SRR10785661,Endothelial cell
SRR10788447,other C19
SRR10782403,Macrophage
SRR10793994,Monocyte conventional
SRR10787150,Endothelial cell
SRR10789177,Ciliated
SRR10779549,Macrophage
SRR10790251,Epithelial cell other C1
SRR10796038,Monocyte conventional
SRR10793146,Endothelial cell
SRR10787901,NK cell
SRR10787484,Epithelial cell dividing
SRR10780601,Mast cell
SRR10796821,Monocyte non-conventional
SRR10795663,Epithelial cell other C1
SRR10788205,cDC2
SRR10796643,Club
SRR10790055,T cell CD4
SRR10794737,Ciliated
SRR10779169,cDC2
SRR10790372,Pericyte
SRR10782548,Plasma cell
SRR10783071,Fibroblast alveolar
SRR10792514,Monocyte conventional
SRR10781693,Fibroblast adventitial
SRR10782279,B cell
SRR10783150,Plasma cell
SRR10791513,Alveolar cell type 2
SRR10790689,Macrophage
SRR10793296,T cell regulatory
SRR10788397,Plasma cell
SRR10787899,T cell CD4
SRR10782541,other C21
SRR10787274,Fibroblast alveolar
SRR10792513,T cell dividing
SRR10788980,T cell dividing
SRR10787485,Macrophage
SRR10789295,T cell CD8
SRR10778114,NK cell
SRR10787213,T cell CD4
SRR10792975,Epithelial cell other C1
SRR10785757,Epithelial cell other C1
SRR10787533,Macrophage
SRR10780025,T cell CD8
SRR10796762,Fibroblast adventitial
SRR10793129,Smooth muscle cell
SRR10796608,B cell
SRR10788636,Plasma cell
SRR10796102,cDC1
SRR10785767,Epithelial cell other C5
SRR10790575,Fibroblast adventitial
SRR10787924,B cell
SRR10795159,Epithelial cell other C1
SRR10784368,T cell CD8
SRR10793271,Macrophage
SRR10796300,Plasma cell
SRR10785066,Epithelial cell other C4
SRR10777261,T cell CD8
SRR10788386,Plasma cell
SRR10785049,Fibroblast alveolar
SRR10778839,Monocyte non-conventional
SRR10786206,Macrophage
SRR10783103,Epithelial cell other C1
SRR10778063,Epithelial cell other C1
SRR10795371,Epithelial cell other C1
SRR10794549,T cell CD4
SRR10782862,Macrophage
SRR10791064,Goblet
SRR10793672,T cell CD8
SRR10797802,Epithelial cell other C5
SRR10796321,Fibroblast adventitial
SRR10791087,Epithelial cell other C5
SRR10791598,Epithelial cell other C2
SRR10781397,Epithelial cell other C5
SRR10789868,T cell CD4
SRR10797693,Smooth muscle cell
SRR10795774,Basal
SRR10777790,T cell regulatory
SRR10783277,Epithelial cell other C1
SRR10786295,Macrophage
SRR10782210,Macrophage
SRR10795330,T cell CD4
SRR10794988,cDC2
SRR10789267,Plasma cell
SRR10796165,Macrophage
SRR10791472,Basal
SRR10786579,Macrophage
SRR10780059,Epithelial cell other C1
SRR10788866,Epithelial cell other C1
SRR10796685,Mast cell
SRR10797961,T cell CD8
SRR10781923,T cell CD4
SRR10789131,T cell CD8
SRR10783869,Plasma cell
SRR10788036,T cell regulatory
SRR10791394,Endothelial cell
SRR10786450,other C21
SRR10792767,Fibroblast alveolar
SRR10794234,T cell CD4
SRR10782652,T cell CD4
SRR10795966,Macrophage
SRR10792444,Basal
SRR10780209,Smooth muscle cell
SRR10785024,Monocyte non-conventional
SRR10779401,other C17
SRR10792123,T cell CD4
SRR10797545,other C29
SRR10785825,Epithelial cell other C5
SRR10796954,Plasma cell
SRR10784237,T cell CD4
SRR10792993,B cell
SRR10789508,Macrophage
SRR10796253,T cell CD8
SRR10781404,Monocyte non-conventional
SRR10787803,Epithelial cell dividing
SRR10794180,Monocyte conventional
