Run,cell_type
SRR10793493,T/NK cell
SRR10783793,Stromal
SRR10787811,T/NK cell
SRR10786854,other
SRR10783032,other
SRR10786058,Stromal
SRR10785780,Epithelial cells
SRR10787669,B cell
SRR10784981,Stromal
SRR10786250,T/NK cell
SRR10796126,B cell plasma
SRR10784296,Epithelial cells
SRR10778633,other
SRR10788982,Myeloid cell
SRR10782287,T/NK cell
SRR10781660,T/NK cell
SRR10793498,other
SRR10783430,Endothelial cell
SRR10786369,Myeloid cell
SRR10786933,T/NK cell
SRR10787714,Myeloid cell
SRR10796859,Endothelial cell
SRR10798106,Stromal
SRR10778053,Myeloid cell
SRR10786780,B cell
SRR10792413,T/NK cell
SRR10785401,plasmacytoid dendritic cell
SRR10792100,T/NK cell
SRR10798307,other
SRR10777704,Stromal
SRR10784212,Myeloid cell
SRR10779699,T/NK cell
SRR10787282,Stromal
SRR10787350,Epithelial cells
SRR10792815,Stromal
SRR10779394,Endothelial cell
SRR10788819,T/NK cell
SRR10778982,T/NK cell
SRR10797357,Myeloid cell
SRR10783683,other
SRR10794740,Ciliated
SRR10794040,Stromal
SRR10783961,B cell plasma
SRR10781804,T/NK cell
SRR10782781,T/NK cell
SRR10790590,other
SRR10782831,Myeloid cell
SRR10788265,Epithelial cells
SRR10789208,other
SRR10792337,plasmacytoid dendritic cell
SRR10792408,Myeloid cell
SRR10790951,Myeloid cell
SRR10779315,T/NK cell
SRR10791429,Myeloid cell
SRR10793677,T/NK cell
SRR10790977,Myeloid cell
SRR10782839,Endothelial cell
SRR10788629,Endothelial cell
SRR10786549,Stromal
SRR10783757,T/NK cell
SRR10796717,Myeloid cell
SRR10783241,Myeloid cell
SRR10784348,Stromal
SRR10794944,Stromal
SRR10791539,Endothelial cell
SRR10796306,Myeloid cell
SRR10797499,Myeloid cell
SRR10796535,Epithelial cells
SRR10787582,T/NK cell
SRR10787259,Myeloid cell
SRR10780967,T/NK cell
SRR10785952,B cell plasma
SRR10796842,T/NK cell
SRR10785052,other
SRR10787888,Stromal
SRR10793268,B cell plasma
SRR10797463,T/NK cell
SRR10797059,Myeloid cell
SRR10791983,other
SRR10796636,T/NK cell
SRR10792540,T/NK cell
SRR10798518,Myeloid cell
SRR10777517,other
SRR10794783,other
SRR10798342,T/NK cell
SRR10786251,T/NK cell
SRR10785030,Epithelial cells
SRR10785610,other
SRR10783121,B cell
SRR10781279,Stromal
SRR10797202,Epithelial cells
SRR10782601,Myeloid cell
SRR10797568,Myeloid cell
SRR10782168,Myeloid cell
SRR10794369,Epithelial cells
SRR10795464,Epithelial cells
SRR10786747,Myeloid cell
SRR10790579,Stromal
SRR10784562,other
SRR10791422,Epithelial cells
SRR10781698,B cell plasma
SRR10791502,Myeloid cell
SRR10778763,Stromal
SRR10785554,T/NK cell
SRR10793128,Epithelial cells
SRR10789350,Myeloid cell
SRR10790226,Epithelial cells
SRR10784882,Stromal
SRR10793061,Myeloid cell
SRR10789267,B cell plasma
SRR10777298,T/NK cell
SRR10794336,T/NK cell
SRR10797705,T/NK cell
SRR10781484,Endothelial cell
SRR10784550,plasmacytoid dendritic cell
SRR10794674,T/NK cell
SRR10780168,B cell plasma
SRR10787156,other
SRR10792681,other
SRR10788372,Epithelial cells
SRR10795883,Myeloid cell
SRR10794137,B cell plasma
SRR10779317,B cell plasma
SRR10789045,B cell
SRR10787292,T/NK cell
SRR10784418,Epithelial cells
SRR10793766,other
SRR10782779,other
SRR10797569,other
SRR10792946,Stromal
SRR10779090,Myeloid cell
SRR10787179,Myeloid cell
SRR10782886,Myeloid cell
SRR10789555,Myeloid cell
SRR10792888,Endothelial cell
SRR10795840,Myeloid cell
SRR10777548,Myeloid cell
SRR10797631,other
SRR10778658,Stromal
SRR10786455,T/NK cell
SRR10797954,other
SRR10786333,Myeloid cell
SRR10797142,Myeloid cell
SRR10780307,Myeloid cell
SRR10786055,Stromal
SRR10797380,Myeloid cell
SRR10789973,Myeloid cell
SRR10782624,T/NK cell
SRR10792609,Epithelial cells
SRR10784753,T/NK cell
SRR10781455,Stromal
SRR10791043,Epithelial cells
SRR10793680,Stromal
SRR10798549,T/NK cell
SRR10782443,Stromal
SRR10777828,Myeloid cell
SRR10789461,Myeloid cell
SRR10794519,Epithelial cells
SRR10789094,Myeloid cell
SRR10795740,Myeloid cell
SRR10794314,T/NK cell
SRR10785242,T/NK cell
SRR10786340,Epithelial cells
SRR10791164,Myeloid cell
SRR10788641,Myeloid cell
SRR10781831,B cell plasma
SRR10786873,B cell plasma
SRR10797361,T/NK cell
SRR10795428,Myeloid cell
SRR10787479,Myeloid cell
SRR10786754,Epithelial cells
SRR10782148,Myeloid cell
SRR10777938,T/NK cell
SRR10786867,Epithelial cells
SRR10777418,Mast cell
SRR10798094,Epithelial cells
SRR10779175,Myeloid cell
SRR10780029,Myeloid cell
SRR10786451,Stromal
SRR10791991,Stromal
SRR10796432,Epithelial cells
SRR10782172,Stromal
SRR10789345,Stromal
SRR10777359,Myeloid cell
SRR10784936,Myeloid cell
SRR10783781,T/NK cell
SRR10795971,T/NK cell
SRR10798056,plasmacytoid dendritic cell
SRR10792548,Epithelial cells
SRR10795817,Epithelial cells
SRR10779320,T/NK cell
SRR10792141,Myeloid cell
SRR10782202,Myeloid cell
SRR10781629,Stromal
SRR10785649,Epithelial cells
SRR10783758,other
SRR10781940,other
SRR10786248,Stromal
SRR10797730,Myeloid cell
SRR10794332,T/NK cell
SRR10782359,Myeloid cell
SRR10795956,Stromal
SRR10778193,Stromal
SRR10777770,Stromal
SRR10792264,other
SRR10784932,Myeloid cell
SRR10783586,Stromal
SRR10789090,Epithelial cells
SRR10779608,T/NK cell
SRR10778755,other
SRR10780332,Stromal
SRR10779135,Endothelial cell
SRR10781482,Stromal
SRR10784879,T/NK cell
SRR10786213,Myeloid cell
SRR10788814,T/NK cell
SRR10790208,T/NK cell
SRR10784342,Stromal
SRR10790960,Stromal
SRR10782751,Stromal
SRR10795733,Myeloid cell
SRR10779987,Stromal
SRR10792994,Myeloid cell
SRR10781781,other
SRR10783918,Myeloid cell
SRR10791723,other
SRR10797787,T/NK cell
SRR10794493,Stromal
SRR10788588,Epithelial cells
SRR10791693,Myeloid cell
SRR10786083,Myeloid cell
SRR10795926,Epithelial cells
SRR10795084,Myeloid cell
SRR10783339,Mast cell
SRR10793777,Endothelial cell
SRR10786519,Stromal
SRR10777424,Epithelial cells
SRR10788968,Stromal
SRR10798516,other
SRR10784539,Myeloid cell
SRR10789920,Myeloid cell
SRR10777371,Endothelial cell
SRR10784552,Myeloid cell
SRR10783681,other
SRR10791251,Myeloid cell
SRR10793682,Epithelial cells
SRR10794274,other
SRR10797998,T/NK cell
SRR10794456,T/NK cell
SRR10778080,T/NK cell
SRR10787136,other
SRR10792118,Epithelial cells
SRR10786493,Myeloid cell
SRR10789937,T/NK cell
SRR10783622,Myeloid cell
SRR10782639,other
SRR10783179,other
SRR10792537,T/NK cell
SRR10794402,T/NK cell
SRR10797779,Myeloid cell
SRR10789086,Myeloid cell
SRR10778778,Stromal
SRR10779606,Myeloid cell
SRR10790928,B cell plasma
SRR10779933,T/NK cell
SRR10797358,T/NK cell
SRR10782438,other
SRR10786053,B cell plasma
SRR10780548,Myeloid cell
SRR10789077,B cell
SRR10795110,Myeloid cell
SRR10795682,T/NK cell
SRR10790724,T/NK cell
SRR10794723,T/NK cell
SRR10783381,Endothelial cell
SRR10781591,Endothelial cell
SRR10792932,Myeloid cell
SRR10790481,Epithelial cells
SRR10794193,T/NK cell
SRR10797332,Endothelial cell
SRR10796195,T/NK cell
SRR10784707,Stromal
SRR10789070,Myeloid cell
SRR10782932,Endothelial cell
SRR10796580,other
SRR10790060,Stromal
SRR10795014,Myeloid cell
SRR10798173,Myeloid cell
SRR10787682,Myeloid cell
SRR10780990,Myeloid cell
SRR10796861,T/NK cell
SRR10785231,T/NK cell
SRR10796889,T/NK cell
SRR10787035,Stromal
SRR10785028,Myeloid cell
SRR10779307,T/NK cell
SRR10790683,Epithelial cells
SRR10790096,Stromal
SRR10782846,B cell plasma
SRR10793106,T/NK cell
SRR10794623,Mast cell
SRR10796531,other
SRR10791958,Myeloid cell
SRR10788716,T/NK cell
SRR10785122,other
SRR10784966,other
SRR10782234,Myeloid cell
SRR10788681,other
SRR10791628,Myeloid cell
SRR10785065,Endothelial cell
SRR10793735,B cell
SRR10793219,Myeloid cell
SRR10789824,other
SRR10785841,Stromal
SRR10786725,T/NK cell
SRR10791162,Mast cell
SRR10794497,Myeloid cell
SRR10783746,T/NK cell
SRR10787846,Myeloid cell
SRR10798378,Myeloid cell
SRR10792212,Myeloid cell
SRR10780876,T/NK cell
SRR10788307,Stromal
SRR10796419,other
SRR10785115,Myeloid cell
SRR10794719,B cell plasma
SRR10783115,Endothelial cell
SRR10779492,T/NK cell
SRR10784950,Myeloid cell
SRR10784216,B cell plasma
SRR10781874,Epithelial cells
SRR10783140,B cell plasma
SRR10783542,plasmacytoid dendritic cell
SRR10795363,Mast cell
SRR10794372,Endothelial cell
SRR10790035,plasmacytoid dendritic cell
SRR10791184,Myeloid cell
SRR10786488,Stromal
SRR10786352,B cell plasma
SRR10784899,other
SRR10791520,Myeloid cell
SRR10794963,Stromal
SRR10782335,T/NK cell
SRR10797788,T/NK cell
SRR10777919,T/NK cell
SRR10784066,Epithelial cells
SRR10785321,Myeloid cell
SRR10790328,Myeloid cell
SRR10796693,Myeloid cell
SRR10785541,B cell
SRR10790165,Endothelial cell
SRR10777687,Epithelial cells
SRR10794324,T/NK cell
SRR10796379,Myeloid cell
SRR10798069,Epithelial cells
SRR10797931,Stromal
SRR10787965,Stromal
SRR10790330,Stromal
SRR10784650,Ciliated
SRR10780360,Epithelial cells
SRR10787404,Stromal
SRR10790682,Epithelial cells
SRR10797267,other
SRR10786483,T/NK cell
SRR10797639,Stromal
SRR10797430,Myeloid cell
SRR10792414,T/NK cell
SRR10778363,T/NK cell
SRR10787102,Stromal
SRR10778210,Stromal
SRR10790109,Endothelial cell
SRR10783707,other
SRR10787019,Myeloid cell
SRR10793205,Epithelial cells
SRR10790908,Myeloid cell
SRR10789820,Myeloid cell
SRR10787070,Myeloid cell
SRR10796963,T/NK cell
SRR10793731,Myeloid cell
SRR10787061,Myeloid cell
SRR10785630,Epithelial cells
SRR10796234,Stromal
SRR10791705,Myeloid cell
SRR10787215,Endothelial cell
SRR10792728,Stromal
SRR10797199,other
SRR10780817,B cell plasma
SRR10778843,T/NK cell
SRR10784508,T/NK cell
SRR10784008,T/NK cell
SRR10782199,Mast cell
SRR10790880,Myeloid cell
SRR10789236,Stromal
SRR10780018,T/NK cell
SRR10790704,Epithelial cells
SRR10784265,Myeloid cell
SRR10797759,Stromal
SRR10791041,Epithelial cells
SRR10791199,other
SRR10794080,B cell plasma
SRR10777980,Myeloid cell
SRR10783195,Epithelial cells
SRR10779164,Myeloid cell
SRR10780676,B cell plasma
SRR10796691,other
SRR10779621,T/NK cell
SRR10789186,T/NK cell
SRR10779382,Myeloid cell
SRR10784768,T/NK cell
SRR10779260,T/NK cell
SRR10789723,Epithelial cells
SRR10787610,Stromal
SRR10781419,Epithelial cells
SRR10795994,Myeloid cell
SRR10796733,Myeloid cell
SRR10792375,Stromal
SRR10790489,Myeloid cell
SRR10787222,Stromal
SRR10778239,Myeloid cell
SRR10783289,Endothelial cell
SRR10785576,Endothelial cell
SRR10787349,Epithelial cells
SRR10784833,T/NK cell
SRR10792056,Epithelial cells
SRR10778432,Myeloid cell
SRR10785871,other
SRR10783526,T/NK cell
SRR10783923,other
SRR10788291,Mast cell
SRR10778305,Myeloid cell
SRR10783591,T/NK cell
SRR10789479,T/NK cell
SRR10789550,B cell plasma
SRR10792277,T/NK cell
SRR10779812,T/NK cell
SRR10790063,Epithelial cells
SRR10797819,Stromal
SRR10793099,Endothelial cell
SRR10780125,other
SRR10791289,T/NK cell
SRR10789825,Stromal
SRR10796433,Epithelial cells
SRR10793861,Stromal
SRR10796767,T/NK cell
SRR10783949,Myeloid cell
SRR10780969,T/NK cell
SRR10787113,Myeloid cell
SRR10794839,Myeloid cell
SRR10782352,Stromal
SRR10782542,T/NK cell
SRR10788044,B cell plasma
SRR10787044,Myeloid cell
SRR10779687,Stromal
SRR10798311,Epithelial cells
SRR10793411,Epithelial cells
SRR10794515,Myeloid cell
SRR10795176,T/NK cell
SRR10787562,Myeloid cell
SRR10783249,Myeloid cell
SRR10790793,T/NK cell
SRR10792159,Myeloid cell
SRR10782632,Myeloid cell
SRR10790981,Mast cell
SRR10786834,Stromal
SRR10786594,T/NK cell
SRR10789175,Endothelial cell
SRR10779596,other
SRR10782571,T/NK cell
SRR10787225,B cell plasma
SRR10794686,T/NK cell
SRR10789160,T/NK cell
SRR10782057,Mast cell
SRR10784949,T/NK cell
SRR10784382,other
SRR10794352,Stromal
SRR10790472,Stromal
SRR10785627,Epithelial cells
SRR10796757,Myeloid cell
SRR10782555,T/NK cell
SRR10786748,Endothelial cell
SRR10793998,Myeloid cell
SRR10796878,Myeloid cell
SRR10788851,other
SRR10793206,Epithelial cells
SRR10779022,Myeloid cell
SRR10778118,Myeloid cell
SRR10789932,T/NK cell
SRR10793874,Myeloid cell
SRR10784641,Myeloid cell
SRR10778068,Myeloid cell
SRR10784943,Myeloid cell
SRR10796822,plasmacytoid dendritic cell
SRR10784916,Epithelial cells
SRR10780073,Myeloid cell
SRR10793797,T/NK cell
SRR10795346,Epithelial cells
SRR10784887,Epithelial cells
SRR10791753,Myeloid cell
SRR10785611,other
SRR10778122,Stromal
SRR10789912,other
SRR10779011,B cell
SRR10785628,B cell plasma
SRR10788113,Stromal
SRR10798121,other
SRR10778695,other
SRR10789552,T/NK cell
SRR10795196,Stromal
SRR10796437,Myeloid cell
SRR10795343,Myeloid cell
SRR10777809,Myeloid cell
SRR10795457,Myeloid cell
SRR10790354,B cell plasma
SRR10798134,B cell plasma
SRR10786086,Epithelial cells
SRR10794273,Epithelial cells
SRR10784520,Stromal
SRR10790950,other
SRR10796482,other
SRR10788482,Myeloid cell
SRR10795301,Epithelial cells
SRR10781636,Epithelial cells
SRR10794025,T/NK cell
SRR10784017,Myeloid cell
SRR10796942,T/NK cell
SRR10790048,Myeloid cell
SRR10778362,Myeloid cell
SRR10781352,T/NK cell
SRR10777969,Myeloid cell
SRR10779657,Stromal
SRR10779412,B cell
SRR10784226,other
SRR10783464,Myeloid cell
SRR10785068,T/NK cell
SRR10783584,T/NK cell
SRR10796608,T/NK cell
SRR10782628,Stromal
SRR10778718,T/NK cell
SRR10785798,other
SRR10787555,T/NK cell
SRR10789379,T/NK cell
SRR10780630,Myeloid cell
SRR10792472,B cell
SRR10788905,Myeloid cell
SRR10777700,Stromal
SRR10790043,B cell plasma
SRR10778269,Stromal
SRR10783927,T/NK cell
SRR10782798,T/NK cell
SRR10797963,Stromal
SRR10787105,Myeloid cell
SRR10778906,Myeloid cell
SRR10778376,T/NK cell
SRR10787599,T/NK cell
SRR10792620,Myeloid cell
SRR10788070,Mast cell
SRR10798552,Myeloid cell
SRR10797106,B cell
SRR10778202,T/NK cell
SRR10781864,Epithelial cells
SRR10795086,Myeloid cell
SRR10784836,Endothelial cell
SRR10798538,Epithelial cells
SRR10793936,Epithelial cells
SRR10794728,Stromal
SRR10790073,Myeloid cell
SRR10793002,Epithelial cells
SRR10792982,Myeloid cell
SRR10780484,Myeloid cell
SRR10796381,T/NK cell
SRR10798186,Stromal
SRR10785842,T/NK cell
SRR10798487,Stromal
SRR10787168,B cell plasma
SRR10786905,B cell plasma
SRR10784308,Myeloid cell
SRR10780908,Myeloid cell
SRR10797101,T/NK cell
SRR10791006,T/NK cell
SRR10791492,Epithelial cells
SRR10792454,Stromal
SRR10784110,Myeloid cell
SRR10790153,Stromal
SRR10797937,Myeloid cell
SRR10790426,T/NK cell
SRR10779391,Stromal
SRR10795166,Myeloid cell
SRR10778245,other
SRR10789018,Myeloid cell
SRR10798592,Endothelial cell
SRR10796971,B cell plasma
SRR10777341,T/NK cell
SRR10778310,Epithelial cells
SRR10783436,Myeloid cell
SRR10777998,Myeloid cell
SRR10777501,T/NK cell
SRR10796626,B cell plasma
SRR10777827,Stromal
SRR10794095,Endothelial cell
SRR10792224,T/NK cell
SRR10797490,T/NK cell
SRR10789760,Epithelial cells
SRR10780727,Myeloid cell
SRR10783863,T/NK cell
SRR10796805,Mast cell
SRR10780691,Myeloid cell
SRR10778177,Myeloid cell
SRR10792777,Myeloid cell
SRR10784965,other
SRR10787342,B cell plasma
SRR10794509,B cell plasma
SRR10797841,Epithelial cells
SRR10790955,T/NK cell
SRR10785569,Myeloid cell
SRR10796374,T/NK cell
SRR10780342,other
SRR10794116,B cell
SRR10793402,T/NK cell
SRR10788245,Stromal
SRR10793324,Endothelial cell
SRR10787408,Stromal
SRR10777837,T/NK cell
SRR10780826,Epithelial cells
SRR10792600,Myeloid cell
SRR10785402,T/NK cell
SRR10791579,other
SRR10783318,Myeloid cell
SRR10794139,T/NK cell
SRR10782144,Epithelial cells
SRR10788491,T/NK cell
SRR10781985,Myeloid cell
SRR10781931,Myeloid cell
SRR10795642,Mast cell
SRR10793530,Myeloid cell
SRR10786373,Myeloid cell
SRR10778510,T/NK cell
SRR10798368,Stromal
SRR10782742,Stromal
SRR10784429,other
SRR10791786,Myeloid cell
SRR10781999,other
SRR10786249,Myeloid cell
SRR10785154,T/NK cell
SRR10779915,Myeloid cell
SRR10782273,Myeloid cell
SRR10785917,Myeloid cell
SRR10784608,T/NK cell
SRR10793508,T/NK cell
SRR10798479,Myeloid cell
SRR10792491,T/NK cell
SRR10793816,Epithelial cells
SRR10790221,Myeloid cell
SRR10786919,T/NK cell
SRR10782957,Myeloid cell
SRR10798265,Mast cell
SRR10795387,T/NK cell
SRR10780159,Stromal
SRR10788005,T/NK cell
SRR10777985,Stromal
SRR10779590,Myeloid cell
SRR10796198,Epithelial cells
SRR10778453,T/NK cell
SRR10788983,Epithelial cells
SRR10786841,plasmacytoid dendritic cell
SRR10791680,T/NK cell
SRR10781782,other
SRR10778815,Endothelial cell
SRR10778320,T/NK cell
SRR10795647,Epithelial cells
SRR10778385,other
SRR10780126,Myeloid cell
SRR10778490,B cell
SRR10795895,T/NK cell
SRR10789148,plasmacytoid dendritic cell
SRR10777659,T/NK cell
SRR10786555,Myeloid cell
SRR10789261,Myeloid cell
SRR10793454,B cell plasma
SRR10779529,T/NK cell
SRR10781432,Myeloid cell
SRR10794368,Epithelial cells
SRR10794462,T/NK cell
SRR10789672,Myeloid cell
SRR10778892,Myeloid cell
SRR10786089,Epithelial cells
SRR10780793,Myeloid cell
SRR10787702,T/NK cell
SRR10793956,B cell plasma
SRR10789936,Myeloid cell
SRR10798508,Myeloid cell
SRR10797768,T/NK cell
SRR10792531,T/NK cell
SRR10793164,Epithelial cells
SRR10782859,T/NK cell
SRR10782587,Myeloid cell
SRR10794346,T/NK cell
SRR10777995,other
SRR10781599,B cell plasma
SRR10788150,Myeloid cell
SRR10788978,Myeloid cell
SRR10798500,other
SRR10784790,Myeloid cell
SRR10787636,Myeloid cell
SRR10779532,Epithelial cells
SRR10785710,Epithelial cells
SRR10789177,Ciliated
SRR10783509,other
SRR10789616,T/NK cell
SRR10780712,Myeloid cell
SRR10794752,Stromal
SRR10778538,Mast cell
SRR10778661,Myeloid cell
SRR10779096,Epithelial cells
SRR10786124,T/NK cell
SRR10788203,Myeloid cell
SRR10781527,Epithelial cells
SRR10783310,Mast cell
SRR10794146,Endothelial cell
SRR10793403,Myeloid cell
SRR10785673,Myeloid cell
SRR10784088,Stromal
SRR10787298,Myeloid cell
SRR10794793,T/NK cell
SRR10789941,Stromal
SRR10787775,T/NK cell
SRR10791580,T/NK cell
SRR10786955,Epithelial cells
SRR10779117,Epithelial cells
SRR10780942,other
SRR10784678,Epithelial cells
SRR10784410,T/NK cell
SRR10786304,other
SRR10778619,Mast cell
SRR10796245,other
SRR10792152,Epithelial cells
SRR10797175,T/NK cell
SRR10778554,B cell
SRR10791446,Myeloid cell
SRR10793661,Epithelial cells
SRR10785118,Ciliated
SRR10797669,Stromal
SRR10797916,Myeloid cell
SRR10784009,T/NK cell
SRR10783597,T/NK cell
SRR10795656,Myeloid cell
SRR10785586,Stromal
SRR10780068,Epithelial cells
SRR10782711,Myeloid cell
SRR10792789,Myeloid cell
SRR10794291,T/NK cell
SRR10777612,Stromal
SRR10795960,Stromal
SRR10780734,Myeloid cell
SRR10781241,T/NK cell
SRR10782579,B cell
SRR10785889,T/NK cell
SRR10780053,Stromal
SRR10786632,T/NK cell
SRR10797186,Myeloid cell
SRR10781448,plasmacytoid dendritic cell
SRR10787129,T/NK cell
SRR10788261,Epithelial cells
SRR10786813,T/NK cell
SRR10785738,other
SRR10792638,Epithelial cells
SRR10786920,T/NK cell
SRR10794327,Myeloid cell
SRR10798440,T/NK cell
SRR10784215,Mast cell
SRR10790544,Epithelial cells
SRR10794075,T/NK cell
SRR10780641,Epithelial cells
SRR10779508,Myeloid cell
SRR10784533,other
SRR10791664,B cell plasma
SRR10789341,other
SRR10778890,T/NK cell
SRR10789633,Myeloid cell
SRR10787598,other
SRR10786988,Myeloid cell
SRR10793082,T/NK cell
SRR10798458,Endothelial cell
SRR10785491,Epithelial cells
SRR10792490,T/NK cell
SRR10796525,Stromal
SRR10779771,Stromal
SRR10782930,Stromal
SRR10785444,Epithelial cells
SRR10777801,Stromal
SRR10783831,Myeloid cell
SRR10781238,Myeloid cell
SRR10788709,Stromal
SRR10785045,Myeloid cell
SRR10780387,Endothelial cell
SRR10798407,Mast cell
SRR10787978,Epithelial cells
SRR10794227,Myeloid cell
SRR10785345,T/NK cell
SRR10786280,other
SRR10784150,Epithelial cells
SRR10779012,T/NK cell
SRR10792399,Epithelial cells
SRR10795712,other
SRR10782456,Myeloid cell
SRR10790286,plasmacytoid dendritic cell
SRR10792693,T/NK cell
SRR10778900,Epithelial cells
SRR10790278,Epithelial cells
SRR10795965,plasmacytoid dendritic cell
SRR10795990,Epithelial cells
SRR10797056,T/NK cell
SRR10798406,Mast cell
SRR10794035,Stromal
SRR10781693,Stromal
SRR10788353,Myeloid cell
SRR10780124,Stromal
SRR10786648,Epithelial cells
SRR10780137,T/NK cell
SRR10790563,B cell plasma
SRR10785552,Endothelial cell
SRR10790044,Endothelial cell
SRR10790458,B cell plasma
SRR10795639,Myeloid cell
SRR10780070,Myeloid cell
SRR10796742,Epithelial cells
SRR10779790,Myeloid cell
SRR10781888,Myeloid cell
SRR10794483,Myeloid cell
SRR10786896,Stromal
SRR10780499,Stromal
SRR10787171,other
SRR10785797,Myeloid cell
SRR10790761,B cell plasma
SRR10779360,Myeloid cell
SRR10793391,T/NK cell
SRR10780524,Myeloid cell
SRR10785240,Endothelial cell
SRR10798023,T/NK cell
SRR10780684,T/NK cell
SRR10784920,Epithelial cells
SRR10795988,other
SRR10781486,T/NK cell
SRR10794219,T/NK cell
SRR10781761,Epithelial cells
SRR10793555,Myeloid cell
SRR10786564,Myeloid cell
SRR10779993,other
SRR10796375,T/NK cell
SRR10795107,T/NK cell
SRR10780632,Myeloid cell
SRR10795125,T/NK cell
SRR10784160,B cell plasma
SRR10789410,T/NK cell
SRR10792538,B cell plasma
SRR10796959,T/NK cell
SRR10781270,T/NK cell
SRR10791674,B cell plasma
SRR10777218,T/NK cell
SRR10787253,T/NK cell
SRR10779311,Epithelial cells
SRR10796951,Epithelial cells
SRR10777653,B cell plasma
SRR10793833,Myeloid cell
SRR10782772,Stromal
SRR10784450,Epithelial cells
SRR10790251,other
SRR10784335,Myeloid cell
SRR10796656,Myeloid cell
SRR10790537,Myeloid cell
SRR10782216,T/NK cell
SRR10786856,other
SRR10782467,Myeloid cell
SRR10780728,T/NK cell
SRR10783091,plasmacytoid dendritic cell
SRR10795924,other
SRR10792837,Mast cell
SRR10779028,Endothelial cell
SRR10787564,T/NK cell
SRR10787577,T/NK cell
SRR10789568,Myeloid cell
SRR10786253,T/NK cell
SRR10791388,Endothelial cell
SRR10788739,T/NK cell
SRR10780232,T/NK cell
SRR10793941,T/NK cell
SRR10792377,Epithelial cells
SRR10796625,other
SRR10789482,Stromal
SRR10788700,Myeloid cell
SRR10795899,Myeloid cell
SRR10789143,Epithelial cells
SRR10788246,Epithelial cells
SRR10795075,Epithelial cells
SRR10783480,Myeloid cell
SRR10787192,Myeloid cell
SRR10780472,Epithelial cells
SRR10791494,Epithelial cells
SRR10791697,other
SRR10791529,Endothelial cell
SRR10796135,B cell plasma
SRR10779722,Endothelial cell
SRR10797917,Myeloid cell
SRR10785994,Myeloid cell
SRR10777858,Myeloid cell
SRR10782737,T/NK cell
SRR10784617,Myeloid cell
SRR10780427,Mast cell
SRR10796237,Endothelial cell
SRR10781236,Myeloid cell
SRR10786243,Myeloid cell
SRR10781875,Epithelial cells
SRR10781356,T/NK cell
SRR10790283,Myeloid cell
SRR10788096,Myeloid cell
SRR10780703,Myeloid cell
SRR10787494,Stromal
SRR10778794,Myeloid cell
SRR10782120,other
SRR10778264,T/NK cell
SRR10778577,Stromal
SRR10783355,Mast cell
SRR10787993,Myeloid cell
SRR10779852,other
SRR10796621,Myeloid cell
SRR10786046,Myeloid cell
SRR10790008,Epithelial cells
SRR10785075,T/NK cell
SRR10777851,Myeloid cell
SRR10778028,T/NK cell
SRR10778329,Myeloid cell
SRR10787908,Epithelial cells
SRR10797529,T/NK cell
SRR10793448,Myeloid cell
SRR10782974,B cell plasma
SRR10791142,Stromal
SRR10790674,Myeloid cell
SRR10785105,Myeloid cell
SRR10793000,Endothelial cell
SRR10791856,Myeloid cell
SRR10787335,Epithelial cells
SRR10778257,Epithelial cells
SRR10797375,T/NK cell
SRR10779756,Myeloid cell
SRR10785566,B cell
SRR10795456,Stromal
SRR10793720,T/NK cell
SRR10788171,Myeloid cell
SRR10792986,Myeloid cell
SRR10784386,Stromal
SRR10778876,Epithelial cells
SRR10788861,Endothelial cell
SRR10778023,Endothelial cell
SRR10797015,Myeloid cell
SRR10784656,T/NK cell
SRR10783030,B cell plasma
SRR10777283,T/NK cell
SRR10781087,Epithelial cells
SRR10785050,Stromal
SRR10780715,Myeloid cell
SRR10791886,T/NK cell
SRR10784310,Epithelial cells
SRR10781942,Endothelial cell
SRR10779863,Epithelial cells
SRR10786146,Myeloid cell
SRR10783799,Epithelial cells
SRR10789914,Myeloid cell
SRR10786182,Myeloid cell
SRR10781411,Epithelial cells
SRR10795552,Epithelial cells
SRR10785359,T/NK cell
SRR10788655,B cell plasma
SRR10793230,T/NK cell
SRR10796950,T/NK cell
SRR10796547,T/NK cell
SRR10788354,Epithelial cells
SRR10788341,Myeloid cell
SRR10793886,Myeloid cell
SRR10797160,B cell plasma
SRR10787258,T/NK cell
SRR10792265,T/NK cell
SRR10796445,B cell plasma
SRR10785766,Stromal
SRR10781558,Myeloid cell
SRR10782976,Stromal
SRR10792347,other
SRR10792524,other
SRR10788452,Myeloid cell
SRR10782938,Stromal
SRR10796877,T/NK cell
SRR10785831,Stromal
SRR10785549,Stromal
SRR10784259,other
SRR10792737,T/NK cell
SRR10793863,B cell plasma
SRR10784659,T/NK cell
SRR10779323,T/NK cell
SRR10781444,Epithelial cells
SRR10782258,Stromal
SRR10785844,Myeloid cell
SRR10795910,Myeloid cell
SRR10777967,Ciliated
SRR10779091,Stromal
SRR10795856,Myeloid cell
SRR10779396,Myeloid cell
SRR10784766,B cell
SRR10794066,other
SRR10795810,B cell
SRR10784805,Mast cell
SRR10777437,Epithelial cells
SRR10795858,Epithelial cells
SRR10780601,Mast cell
SRR10795791,other
SRR10797422,other
SRR10792677,Myeloid cell
SRR10779420,other
SRR10794911,Myeloid cell
SRR10781384,T/NK cell
SRR10782449,Stromal
SRR10786343,B cell plasma
